Department family,Entity,Date of payment,Expense area,Expense type,Supplier,"Transaction 
number",Amount in Sterling
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,"1,006.85"
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,"1,336.61"
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,280.80
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,"3,045.60"
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,"2,888.35"
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,"1,648.32"
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,628.99
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,494.40
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,"2,620.80"
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,"6,468.00"
Department of Health,Mersey Care NHS Trust,09/06/15,It Systems,Private Circuits,Virgin Media Payments Ltd,586488,"36,444.14"
Department of Health,Mersey Care NHS Trust,09/06/15,Hss Ward Windows Upgrades,Building Works,Ingham & Garner Ltd,588631,"54,571.20"
Department of Health,Mersey Care NHS Trust,09/06/15,Ashworth Site Management,Gas,Corona Energy,588682,"30,999.49"
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Building Works,W Braithwaite & Son,588807,"37,939.80"
Department of Health,Mersey Care NHS Trust,09/06/15,Aintree Junior Adult,Ct1 Core Training Yr1,St Helens & Knowsley Nhs Trust,588899,"300,000.00"
Department of Health,Mersey Care NHS Trust,09/06/15,Cheshire & M'Side Npfit,Nhs Coin Connection,Virgin Media Payments Ltd,581902,"27,125.40"
Department of Health,Mersey Care NHS Trust,16/06/15,Ra,Redundancy Payments,Nhs Pension Scheme,10659,"27,376.88"
Department of Health,Mersey Care NHS Trust,16/06/15,Mct Board Management,Corporate Subscripts,Salford Royal Nhs Foundation Trust,583829,"40,000.00"
Department of Health,Mersey Care NHS Trust,16/06/15,HSS Owen Ward Upgrade & Roof,Building Works,Whitfield & Brown (Develop) Ltd,583887,"72,585.18"
Department of Health,Mersey Care NHS Trust,16/06/15,Estates,Mitie Contract Monthly Payment,Mitie Technical Facilities Management Ltd,586730,"64,282.32"
Department of Health,Mersey Care NHS Trust,16/06/15,Mct Board Management,Corporate Subscripts,Care Quality Commission,587095,"78,208.00"
Department of Health,Mersey Care NHS Trust,16/06/15,Communications,Comms Equipment,Saville Audio Visual,589498,"77,244.00"
Department of Health,Mersey Care NHS Trust,16/06/15,Mh Management Nswl,Rental Of Car Parking Spaces,Aintree University Hospital Nhs F.T,589704,"25,125.00"
Department of Health,Mersey Care NHS Trust,16/06/15,Bal Sheet Control,Childcare Voucher Deductions,Edenred,590024,"26,858.45"
Department of Health,Mersey Care NHS Trust,19/06/15,Bal Sheet Control,Superannuation (Ee),Nhs Pensions,1081378,"754,033.75"
Department of Health,Mersey Care NHS Trust,19/06/15,Bal Sheet Control,Superannuation (Er),Nhs Pensions,1081378,"1,217,352.61"
Department of Health,Mersey Care NHS Trust,22/06/15,Bal Sheet Control,Ni (Ee) Lesscont Out,Hmrc,1081378,"686,410.58"
Department of Health,Mersey Care NHS Trust,22/06/15,Bal Sheet Control,Ni (Er),Hmrc,1081378,"795,264.92"
Department of Health,Mersey Care NHS Trust,22/06/15,Bal Sheet Control,Sap,Hmrc,1081378,"1,530.68"
Department of Health,Mersey Care NHS Trust,22/06/15,Bal Sheet Control,Smp,Hmrc,1081378,"-29,568.62"
Department of Health,Mersey Care NHS Trust,22/06/15,Bal Sheet Control,Student Loan Deductions,Hmrc,1081378,"24,454.00"
Department of Health,Mersey Care NHS Trust,22/06/15,Bal Sheet Control,Income Tax,Hmrc,1081378,"1,357,295.20"
Department of Health,Mersey Care NHS Trust,25/06/15,Secure Health Park,Professional Fees,Nhs Cheshire And Merseyside Csu,589712,"29,032.03"
Department of Health,Mersey Care NHS Trust,25/06/15,Bal Sheet Control,Drugs,Novartis Pharmaceuticals Uk Ltd,590432,"52,894.64"
Department of Health,Mersey Care NHS Trust,25/06/15,It Systems,It Support & Maint Contract,Servelec Healthcare Limited,590517,"60,636.00"
