Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,CONS FEE CHOOSE AND BOOK,CAPITAL PROGRAM,THE SNORING DISORDERS CENTRE LTD,36848.5,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,CPAP MACHINES,CAPITAL PROGRAM,THE SNORING DISORDERS CENTRE LTD,70999.92,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,SERVICES FROM OTHER NHS,WOMEN & CHILDRENS PAN TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUS,26000,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,HIRE OF CLINICAL EQUIPMENT,DIRECTOR OF NURSING,ARJO HUNTLEIGH,87215.46,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,EXTERNAL AUDIT,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,KPMG LLP,27573.9,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,ENGINEERING SERVICES,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,268548.96,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,CONSULTANTS FEES,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,38828.95,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,CONSULTANTS FEES,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,13910.66,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,EQUIPMENT >5K,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,99680.3,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,STRUCTURE,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,122278.59,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,STRUCTURE,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,55583.59,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,STRUCTURE,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,324018.49,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),130774.09,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),29555.84,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/04/2016,ELECTRICITY,DIRECTOR OF ESTATES & FACILITIES,EDF ENERGY 1 LIMITED,39550.11,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,11/04/2016,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,37968,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/04/2016,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),190942.29,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2016,XRAY MAINTENANCE,DIAGNOSTICS,NHS SUPPLY CHAIN (MAINTENANCE),121275.98,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2016,BUREAU HARD/W,DIRECTOR OF PERF IMPROVEMENT,LANDESK INTERNATIONAL LTD,31626,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2016,PHARMACY,DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,25658.21,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2016,PHARMACY,DIAGNOSTICS,AAH HOSPITAL SERVICE,28568.28,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2016,ADMIN CLERICAL OTHER,INTEGRATED MEDICINE BOSTON,LINCOLNSHIRE COUNTY COUNCIL,36750,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2016,CONSULTANCY DELIVERY,DIRECTOR OF OPERATIONS,QFI CONSULTING LLP,25000,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2016,CLINICAL SERVICE CONTRACT,DIAGNOSTICS,MEDICA GROUP,33973,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2016,COST OF FP 10 PRESCRIPTIONS,DIAGNOSTICS,BUSINESS SERVICES AUTHORITY,26211,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2016,CLINICAL SERVICE CONTRACT,THERAPIES,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,65302.55,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2016,SENIOR MANAGER BAND 8D,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUS,29044,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2016,FUEL - STEAM,DIRECTOR OF ESTATES & FACILITIES,INDUSTRIAL ENERGY SERVICES LTD,83733.76,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2016,FUEL - STEAM,DIRECTOR OF ESTATES & FACILITIES,INDUSTRIAL ENERGY SERVICES LTD,96042.61,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2016,FUEL - STEAM,DIRECTOR OF ESTATES & FACILITIES,INDUSTRIAL ENERGY SERVICES LTD,91814.3,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2016,MEDICAL LOCUMS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,NL MANAGED SERVICES LTD,51214.7,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2016,CLINICAL SERVICE CONTRACT,DIAGNOSTICS,MEDICA GROUP,53751.25,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2016,EQUIPMENT >5K,CAPITAL PROGRAM,NHS SUPPLY CHAIN (CAPITAL INVOICES ONLY),59904,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2016,POSTAGE,DIRECTOR OF ESTATES & FACILITIES,NEOPOST (POSTAGE TOP UP ONLY) POSTROOM,50000,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2016,STRUCTURE,CAPITAL PROGRAM,TAYLOR PEARSON LTD,35917.98,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2016,CONS FEE CHOOSE AND BOOK,CAPITAL PROGRAM,THE SNORING DISORDERS CENTRE LTD,36743,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/04/2016,MEDICAL LOCUMS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,RIVERSIDE PROFESSIONALS LLP,314729.02,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/04/2016,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,37968,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/04/2016,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,31188,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,PHARMACY,DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,25643.52,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,41911.2,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,39439.68,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,77793.25,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,BUREAU SOFT/W,DIAGNOSTICS,ASCRIBE LTD,68477.98,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,COMP SOFTWARE LICENCE FEES,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,ASCRIBE LTD,576.43,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,PROPERTY LEASE,DIRECTOR OF ESTATES & FACILITIES,NHS PROPERTY SERVICES LTD,213666.85,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,PROPERTY LEASE,DIRECTOR OF ESTATES & FACILITIES,NHS PROPERTY SERVICES LTD,34896.96,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,128475.96,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,EQUIPMENT >5K,CAPITAL PROGRAM,HARLAND SIMON PLC,241044.63,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,COMPUTER HARDWARE,CAPITAL PROGRAM,INTRINSIC TECHNOLOGY,28317.46,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,COMPUTER PURCHASE ACCESSORIES,DIRECTOR OF PERF IMPROVEMENT,INTRINSIC TECHNOLOGY,25774.16,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,CPAP MACHINES,CAPITAL PROGRAM,THE SNORING DISORDERS CENTRE LTD,29041.2,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,MSSE CONSUMABLES,DIAGNOSTICS,NHS SUPPLY CHAIN (MAINTENANCE),345445.4,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,COMPUTER HARDWARE,CAPITAL PROGRAM,DELL COMPUTER CORPORATION,43638,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,COMPUTER HARDWARE,CAPITAL PROGRAM,DELL COMPUTER CORPORATION,43638,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,COMPUTER HARDWARE,CAPITAL PROGRAM,DELL COMPUTER CORPORATION,43638,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,HIRE OF CLINICAL EQUIPMENT,DIRECTOR OF NURSING,ARJO HUNTLEIGH,82443.71,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,COMPUTER SOFTWARE,CAPITAL PROGRAM,CRAB CLINICAL INFORMATICS LTD,62640,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,MEDICAL LOCUMS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,RIVERSIDE PROFESSIONALS LLP,227658.08,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,PATHOLOGY SERVICES,BLOOD & PATHLINKS,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,131866,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),228777.84,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,CNST CONTRIBUTIONS,MEDICAL DIRECTOR,NHS LITIGATION AUTHORITY,1167213,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,CNST CONTRIBUTIONS,WOMEN & CHILDRENS PAN TRUST,NHS LITIGATION AUTHORITY,299660,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,CNST CONTRIBUTIONS,WOMEN & CHILDRENS PAN TRUST,NHS LITIGATION AUTHORITY,488920,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2016,CNST CONTRIBUTIONS,MEDICAL DIRECTOR,NHS LITIGATION AUTHORITY,37971,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2016,ELECTRICITY,DIRECTOR OF ESTATES & FACILITIES,EDF ENERGY 1 LIMITED,38592.05,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/04/2016,ELECTRICITY,DIRECTOR OF ESTATES & FACILITIES,EDF ENERGY 1 LIMITED,34612.69,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,25/04/2016,RATES,DIRECTOR OF ESTATES & FACILITIES,SOUTH KESTEVEN DISTRICT COUNCIL,293230,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,25/04/2016,RATES,DIRECTOR OF ESTATES & FACILITIES,BOSTON BOROUGH COUNCIL - BUSINESS RATES,611310,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,25/04/2016,RATES,DIRECTOR OF ESTATES & FACILITIES,CITY OF LINCOLN COUNCIL,939330,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/04/2016,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),224529.39,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2016,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,146812.2,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2016,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,44804.88,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2016,COMPUTER PURCHASE ACCESSORIES,DIRECTOR OF PERF IMPROVEMENT,CAYDER LTD,36000,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2016,FUEL - STEAM,DIRECTOR OF ESTATES & FACILITIES,INDUSTRIAL ENERGY SERVICES LTD,28033.59,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2016,ENGINEERING SERVICES,CAPITAL PROGRAM,NEXT CONTROL SYSTEMS LTD T/A TUTELA SYST,29206.68,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2016,EQUIPMENT >5K,CAPITAL PROGRAM,STRYKER UK,277200,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2016,EQUIPMENT >5K,CAPITAL PROGRAM,STRYKER UK,25200,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2016,FUEL - STEAM,DIRECTOR OF ESTATES & FACILITIES,VEOLIA ENERGY & UTILITY SERVICES UK PLC,52374.79,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2016,MEDICAL LOCUMS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,RIVERSIDE PROFESSIONALS LLP,282042.51,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2016,SERVICES FROM NON-NHS BODIES,DIRECTOR OF OPERATIONS,SYNERGY HEALTH (UK) LTD,250715.53,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2016,RENTS,DIRECTOR OF ESTATES & FACILITIES,PROGRESS CARE HOUSING ASSOCIATION LTD,81738.7,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2016,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,26058.36,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2016,STRUCTURE,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,389510.36,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2016,ENGINEERING SERVICES,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,106756.48,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2016,STRUCTURE,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,68240.94,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/04/2016,ENGINEERING SERVICES,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,55797.19,Apr-16
