Transaction Date,Merchant Name,Transaction Amount,Entity,Details 
15/10/2013,WWW.UK.INSIGHT.COM,£510.66,Debt Management Office,IT/Office equipment purc
15/10/2013,KAPLAN FINANCIAL LTD,"£2,025.19",HM Treasury,Training Course Fees
15/10/2013,HRG UK       INA757265256,£649.67,HM Treasury,Air Travel
15/10/2013,BRITISH AIRW1254331704293,"£1,539.35",HM Treasury,Air Travel
16/10/2013,E OF ENGLAND AMB,£576.00,HM Treasury,Training Course Fees
16/10/2013,THE KERRY  HOTEL,£973.74,HM Treasury,Overseas other travel
17/10/2013,EML LEARNING,"£1,800.00",HM Treasury,Training Course Fees
20/10/2013,Amazon  Mktplce EU-UK,"£1,602.99",HM Treasury,IT Hardware Services & Ma
21/10/2013,E OF ENGLAND AMB,£576.00,HM Treasury,Training Course Fees
21/10/2013,CIVIL SERVICE LEARNING,£588.00,HM Treasury,Training Course Fees
21/10/2013,LUXAIR      1494331831841,£684.71,HM Treasury,Air Travel
21/10/2013,AIR CANADA  0144331831999,"£4,150.45",HM Treasury,Air Travel
21/10/2013,AIR CANADA  0144331832501,"£4,150.45",HM Treasury,Air Travel
22/10/2013,SOHOEDITORS,£797.22,HM Treasury,Training Course Fees
22/10/2013,CIVIL SERVICE LEARNING,£985.20,HM Treasury,Training Course Fees
22/10/2013,TIMBERLAKE CONSULT,"£1,159.20",Debt Management Office,IT Software services and
23/10/2013,HRG UK       INA757350969,"£1,721.13",HM Treasury,Air Travel
24/10/2013,TINIES U.K. LTD LONDON,"£1,633.50",HM Treasury,Welfare
25/10/2013,WWW.CIPFA.ORG.UK/PFMCO,£660.00,HM Treasury,Training Course Fees
25/10/2013,CIVIL SERVICE LEARNING,£793.20,HM Treasury,Training Course Fees
25/10/2013,QA-IQ LTD,"£2,196.00",Debt Management Office,Training Course Fees
28/10/2013,BRITISH AIRW1254331985557,£809.55,HM Treasury,Air Travel
28/10/2013,VIR ATL     9324331992321,"£2,916.55",HM Treasury,Air Travel
29/10/2013,WWW.BBA.ORG.UK,£630.00,Debt Management Office,Training Course Fees
29/10/2013,CIVIL SERVICE LEARNING,£650.40,HM Treasury,Training Course Fees
29/10/2013,OFFICE FOR NAT STATS,£945.00,HM Treasury,Supply Stock Items(Statio
29/10/2013,LEXISNEXIS UK,"£2,436.88",HM Treasury,Training Course Fees
30/10/2013,WWW.BPP PROF DEVLM,£718.80,Debt Management Office,Training Course Fees
30/10/2013,WWW.BPP PROF DEVLM,£718.80,Debt Management Office,Training Course Fees
30/10/2013,REED ONLINE LIMITED (E,"£1,445.00",HM Treasury,Training Course Fees
30/10/2013,WWW CCSPAY CO UK,"£5,869.95",HM Treasury,Telephone Rental - UK
,,,,
