19 DFID Expenditure through UK CSO's 2009/10,,,,,,,,,,,
,,,,,,,£thousands,,,,
Goal, - , - , - ,  1 199 ,   395 ,,  1 594,,,,
Habitat For Humanity Great Britain,   123 , - , - , - , - ,,   123,,,,
Handicap International UK, - , - , - ,   250 , - ,,   250,,,,
HALO Trust, - , - , - ,   966 ,  3 802 ,,  4 768,,,,
,,,,,,,,,,,
Health Poverty Action,   449 , - , - , - ,   628 ,,  1 078,,,,
Healthlink Worldwide,   614 , - , - , - , - ,,   614,,,,
Helpage International, - ,  1 830 , - , - ,   277 ,,  2 107,,,,
Homeless International,   140 , - , - , - ,   409 ,,   549,,,,
IDS International Development Through Sport,   101 , - , - , - , - ,,   101,,,,
,,,,,,,,,,,
Institute Of Development Studies University, - , - , - , - ,  4 779 ,,  4 779,,,,
Interact Worldwide,   600 , - , - , - ,   118 ,,   718,,,,
International Alert, - , - , - ,   133 ,   949 ,,  1 082,,,,
International Childrens Trust,   97 , - , - , - , - ,,   97,,,,
International HIV/Aids Alliance, - ,  5 380 , - , - , - ,,  5 380,,,,
,,,,,,,,,,,
International Institue for Environment and Development, - ,  1 760 , - , - ,   588 ,,  2 348,,,,
International Medical Corps (UK), - , - , - ,  1 109 , - ,,  1 109,,,,
International Services UNAIS, - ,  1 560 , - , - , - ,,  1 560,,,,
International Planned Parenthood Federation (IPPF), - ,  6 450 , - , - ,   976 ,,  7 426,,,,
International Rescue Committee UK (IRC), - , - , - ,  1 667 ,  24 733 ,,  26 400,,,,
,,,,,,,,,,,
Islamic Relief, - ,   800 , - ,   565 , - ,,  1 365,,,,
Landmine Action, - , - , - ,   542 , - ,,   542,,,,
Lead International,   152 , - , - , - ,   5 ,,   157,,,,
Living Earth Foundation, - , - ,   210 , - , - ,,   210,,,,
London School Of Hygiene And Tropical Medicine,   142 , - , - , - ,  4 271 ,,  4 413,,,,
,,,,,,,,,,,
Madhesh Community Mediation Project, - , - , - , - ,   150 ,,   150,,,,
Malaria Consortium, - , - , - , - ,  6 417 ,,  6 417,,,,
Malaria No More UK, - , - , - , - ,   215 ,,   215,,,,
Marie Stopes International,   440 , - , - , - ,   250 ,,   690,,,,
Medecins Sans Frontieres, - , - , - ,  2 020 ,   326 ,,  2 345,,,,
,,,,,,,,,,,
Mercy Corps,   186 , - , - ,  1 637 ,  3 851 ,,  5 673,,,,
MERLIN, - , - , - ,  5 288 ,   500 ,,  5 788,,,,
Mines Advisory Group, - , - , - ,   500 ,  3 000 ,,  3 500,,,,
Overseas Development Institute, - ,  1 140 ,   720 , - ,  5 464 ,,  7 324,,,,
One World Action, - ,  1 060 , - , - ,   583 ,,  1 643,,,,
,,,,,,,,,,,
OXFAM, - ,  11 090 ,  1 151 ,  6 793 ,  4 612 ,,  23 646,,,,
Panos London, - ,  1 900 , - , - ,   566 ,,  2 466,,,,
People In Aid, - , - , - , - ,   280 ,,   280,,,,
Plan International UK, - ,  2 410 , - , - ,   917 ,,  3 327,,,,
Population Services International, - , - , - , - ,   385 ,,   385,,,,
,,,,,,,,,,,
Practical Action, - ,  1 060 , - , - ,   378 ,,  1 438,,,,
PROGRESSIO, - ,  3 470 , - , - , - ,,  3 470,,,,
Reading International Solidarity Centre, - , - , - , - ,   320 ,,   320,,,,
Red R, - , - , - ,   150 ,  1 093 ,,  1 243,,,,
Refugee Studies Centre, - , - , - ,   367 , - ,,   367,,,,
,,,,,,,,,,,
Royal Society For The Protection Of Birds,   205 , - , - , - ,   103 ,,   308,,,,
Saferworld, - , - , - , - ,  2 012 ,,  2 012,,,,
Save The Children, - ,  9 320 , - ,  12 275 ,  3 955 ,,  25 551,,,,
Sight Savers International,   109 , - , - , - , - ,,   109,,,,
Skillshare International, - ,  3 508 , - , - ,   374 ,,  3 882,,,,
,,,,,,,,,,,
Stakeholder Forum, - , - , - , - ,   128 ,,   128,,,,
Students Partnership Worldwide,   305 , - , - , - ,   835 ,,  1 141,,,,
TB Alert,   106 , - , - , - , - ,,   106,,,,
Tearfund,   73 , - , - ,   925 ,  1 347 ,,  2 345,,,,
The Cambodia Trust,   117 , - , - , - , - ,,   117,,,,
,,,,,,,,,,,
The Rainforest Foundation UK, - , - , - , - ,   772 ,,   772,,,,
The Resilience Centre, - , - ,   247 , - , - ,,   247,,,,
The Rights Practice,   54 , - , - , - , - ,,   54,,,,
The Westminster Consortium for Parliaments and Democracy, - , - ,   580 , - , - ,,   580,,,,
Transparency International, - ,  1 060 , - , - ,   705 ,,  1 765,,,,
,,,,,,,,,,,
Traidcraft Exchange,   372 , - , - , - , - ,,   372,,,,
Tiri, - , - ,  1 367 , - , - ,,  1 367,,,,
Tree AID,   131 , - , - , - , - ,,   131,,,,
Trocaire,   257 , - , - , - ,  1 076 ,,  1 332,,,,
Tropical Health Education Trust,   51 , - , - , - ,   688 ,,   739,,,,
,,,,,,,,,,,
Trades Union Congress (TUC),   125 ,  1 200 , - , - ,   148 ,,  1 473,,,,
UCL Centre for International Health and Development (CIHD), - , - ,   357 , - , - ,,   357,,,,
UK Consortium on Aids and International Development, - , - , - , - ,   198 ,,   198,,,,
UNISON,   110 , - , - , - , - ,,   110,,,,
Vetaid,   192 , - , - , - , - ,,   192,,,,
,,,,,,,,,,,
VSO, - ,  31 660 , - , - ,  2 464 ,,  34 124,,,,
Wateraid, - ,  1 680 ,   817 , - ,  1 462 ,,  3 959,,,,
War On Want,   120 , - , - , - , - ,,   120,,,,
Wellcome Trust, - , - , - , - ,   119 ,,   119,,,,
White Ribbon Alliance, - , - , - , - ,   876 ,,   876,,,,
,,,,,,,,,,,
Womankind Worldwide,   427 , - , - , - ,   204 ,,   631,,,,
World Vision United Kingdom, - ,  2 620 , - ,   290 ,   61 ,,  2 971,,,,
Windle Trust International , - , - , - , - ,   664 ,,   664,,,,
WWF UK, - ,  5 730 , - , - ,   220 ,,  5 950,,,,
Y Care International,   63 , - , - , - , - ,,   63,,,,
,,,,,,,,,,,
Total Other,  2 245 ,   75 ,   42 ,   82 ,  1 141 ,,  3 585,,,,
,   ,   ,,   ,   ,,   ,,,,
TOTAL, 12 232 , 128 823 , 11 361 , 50 163 , 159 548 ,,  362 127,,,,
,,,,,,,,,,,
"1. DFID supports CSOs through centrally managed funds like the Civil Society Challenge Fund, Programme Partnership Agreements and the Governance Transparency Fund.",,,,,,,,,,,
,,,,,,,,,,,
2. The Governance Transparency Fund supports CSOs in the UK and in developing countries. Only the funding to UK CSOs are shown in this table. The total value of the GTF in 2009/10 was £26.8 million,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,, ,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
