DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceLineDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-21,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CARRIAGE OF SAMPLES,Operational Delivery,TOPSPEED COURIERS LIMITED,1011701183,8140,TB PROJECT,WA16 8XN,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-17,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Contaminants HoD,C E F A S,2012700067,7486.95,PROJECT C6028 Q2,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-13,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT Service Delivery,VODAFONE LTD,1011701104,6295.37,SERVICES,MK3 5JL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Production Branch,FOOD STANDARDS SCOTLAND,2012700071,5787,D6 - FSA contributions - Deliverable as per payment schedule - 16/17,AB11 5RL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-31,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011701240,5431.72,VOIP CALL CHARGES AUG 16 CUST CONTACT ,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-21,EXP - PURCHASE OF GOODS/SERVICES - CONSULTANCY,OWOW,CARTER JONAS,1011701179,5256,PHASE2 ESTATE STRATEGY,W1G 0BG,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ENERGY/UTILITIES/WASTE COST,Security & Estates,DEFRA C/O CAPITA,1011701046,4474.13,CAPITA INVOICE 100254/9517 - FOSS HOUSE RENT RATES AND UTILITIES - JUNE 2016,EC2V 7NQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ENERGY/UTILITIES/WASTE COST,Security & Estates,DEFRA C/O CAPITA,1011701046,3786.32,CAPITA INVOICE 100254/9615 - FOSS HOUSE RENT RATES AND UTLITIES AUGUST 2016,EC2V 7NQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-26,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Contaminants HoD,C E F A S,2012700075,3409.4,C6133 INVOICE FOR THE PERIOD SEPTEMBER 2016,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-25,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,Operations Local Delivery ,REDFERN TRAVEL LTD,1011701203,3151.38,BUSINESS TRAVEL WEEK 42,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-25,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Finance Director & Branch,REDFERN TRAVEL LTD,1011701203,2908.35,BUSINESS TRAVEL WEEK 42,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operations Local Delivery ,REDFERN TRAVEL LTD,1011701032,2905.81,BUSINESS TRAVEL WEEK 39,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Production Branch,FOOD STANDARDS SCOTLAND,2012700071,2893,D5 - FSA contributions - Deliverable as per payment schedule - 15/16,AB11 5RL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-12,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operational Delivery,REDFERN TRAVEL LTD,1011701092,2743,BUSINESS TRAVEL WEEK 40,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-25,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operations Local Delivery ,REDFERN TRAVEL LTD,1011701203,2465.8,BUSINESS TRAVEL WEEK 42,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operations Assurance ,REDFERN TRAVEL LTD,1011701032,2205.55,BUSINESS TRAVEL WEEK 39,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-25,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Chief Executive & Private Office,REDFERN TRAVEL LTD,1011701203,2199.55,BUSINESS TRAVEL WEEK 42,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-25,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operational Delivery,REDFERN TRAVEL LTD,1011701203,2126.78,BUSINESS TRAVEL WEEK 42,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-12,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Finance Director & Branch,REDFERN TRAVEL LTD,1011701092,1985.95,BUSINESS TRAVEL WEEK 40,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operational Delivery,REDFERN TRAVEL LTD,1011701032,1921.8,BUSINESS TRAVEL WEEK 39,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-12,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operations Assurance ,REDFERN TRAVEL LTD,1011701092,1881.65,BUSINESS TRAVEL WEEK 40,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-31,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011701240,1780,PROJECT NO AH/905206,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-12,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operations Local Delivery ,REDFERN TRAVEL LTD,1011701092,1673,BUSINESS TRAVEL WEEK 40,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-21,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CARRIAGE OF SAMPLES,Operational Delivery,TOPSPEED COURIERS LIMITED,1011701183,1575,CAMPY,WA16 8XN,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-12,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,Operational Delivery,REDFERN TRAVEL LTD,1011701092,1365.06,BUSINESS TRAVEL WEEK 40,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-12,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Planning and Performance,REDFERN TRAVEL LTD,1011701092,1340.3,BUSINESS TRAVEL WEEK 40,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,IT Information & Knowledge Management,REDFERN TRAVEL LTD,1011701032,1305.15,BUSINESS TRAVEL WEEK 39,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-31,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011701240,1086.34,VOIP CALL CHARGES AUG 16 CUST CONTACT ,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-21,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CARRIAGE OF SAMPLES,Operational Delivery,TOPSPEED COURIERS LIMITED,1011701183,1080,AMR,WA16 8XN,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-31,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011701240,1062.68,FHRS ENHANCED CPU UTILISATION,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Planning and Performance,REDFERN TRAVEL LTD,1011701032,999.8,BUSINESS TRAVEL WEEK 39,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Finance Director & Branch,REDFERN TRAVEL LTD,1011701032,998.15,BUSINESS TRAVEL WEEK 39,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-21,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CARRIAGE OF SAMPLES,Operational Delivery,TOPSPEED COURIERS LIMITED,1011701183,968,RCDM COLLECTIONS,WA16 8XN,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,Operations Assurance ,REDFERN TRAVEL LTD,1011701032,953.55,BUSINESS TRAVEL WEEK 39,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-25,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operations Assurance ,REDFERN TRAVEL LTD,1011701203,946.25,BUSINESS TRAVEL WEEK 42,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-12,EXP - PURCHASE OF GOODS/SERVICES - FOREIGN SUBSISTENCE,Contaminants Policy & Strategy Unit,REDFERN TRAVEL LTD,1011701092,908.21,BUSINESS TRAVEL WEEK 40,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,Operational Delivery,REDFERN TRAVEL LTD,1011701032,841.84,BUSINESS TRAVEL WEEK 39,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ENERGY/UTILITIES/WASTE COST,Security & Estates,DEFRA C/O CAPITA,1011701046,821.63,CAPITA INVOICE 100254/9542 - FOSS HOUSE RENT RATES AND UTILITIES - JULY 2016,EC2V 7NQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-25,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Regulating our Future,REDFERN TRAVEL LTD,1011701203,813.75,BUSINESS TRAVEL WEEK 42,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,Operations Local Delivery ,REDFERN TRAVEL LTD,1011701032,752.65,BUSINESS TRAVEL WEEK 39,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-12,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,Operations Assurance ,REDFERN TRAVEL LTD,1011701092,733.27,BUSINESS TRAVEL WEEK 40,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-25,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Food Crime Unit - Prog,REDFERN TRAVEL LTD,1011701203,724.15,BUSINESS TRAVEL WEEK 42,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-25,EXP - PURCHASE OF GOODS/SERVICES -  FOREIGN AIR TRAVEL,Regulatory & International,REDFERN TRAVEL LTD,1011701203,723.3,BUSINESS TRAVEL WEEK 42,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-12,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,Planning and Performance,REDFERN TRAVEL LTD,1011701092,716.27,BUSINESS TRAVEL WEEK 40,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-25,EXP - PURCHASE OF GOODS/SERVICES - AIR TRAVEL,Legal Branch A & Investigations,REDFERN TRAVEL LTD,1011701203,631.45,BUSINESS TRAVEL WEEK 42,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-12,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Comms Directors Office,REDFERN TRAVEL LTD,1011701092,601.6,BUSINESS TRAVEL WEEK 40,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-25,EXP - PURCHASE OF GOODS/SERVICES -  FOREIGN AIR TRAVEL,IT Information & Knowledge Management,REDFERN TRAVEL LTD,1011701203,592.91,BUSINESS TRAVEL WEEK 42,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Food Incidents & Resilience - Prog,REDFERN TRAVEL LTD,1011701032,590.7,BUSINESS TRAVEL WEEK 39,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-12,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Area 6 South East England - Cluster 63,REDFERN TRAVEL LTD,1011701092,589.1,BUSINESS TRAVEL WEEK 40,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-12,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Area 5 South West England - Cluster 57,REDFERN TRAVEL LTD,1011701092,575.65,BUSINESS TRAVEL WEEK 40,BD1 5HQ,PROGRAMME
