Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,30/09/2014,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810005897,"53,990.00",111 CONTRACT SEPTEMBER 2014,
Department of Health,03F,30/09/2014,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810005925,"118,422.33",CHARGE IN RESPECT OF PTS CONTRACT SEPTEMBER 2014 ,
Department of Health,03F,30/09/2014,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,CHC RETROSPECTIVE PAYMENT,101419-29-AUG-2014,"25,370.47",REIMBURSEMENT OF CARE FEES FOR PATIENT,
Department of Health,03F,30/09/2014,Clinical&Medical-Othe Public Sector,CARERS,HULL CITY COUNCIL,1000197085,"30,023.67",CARERS SUPPORT SERVICE CONTRACT AUGUST 2014,
Department of Health,03F,30/09/2014,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000197094,"531,436.80",CONTINUING HEALTH RECHARGES AUGUST 2014,
Department of Health,03F,30/09/2014,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000197161,"42,473.05",FNC RECHARGES 21/07/14 - 17/08/14,
Department of Health,03F,30/09/2014,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,1328,"88,887.00",CHC FEES SEPTEMBER 2014,
Department of Health,03F,30/09/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800089965,"57,026.95",EQUIPMENT COSTS FOR WHEELCHAIR SERVICE (ADULTS) MAY 2014,
Department of Health,03F,30/09/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800090349,"159,152.14",EQUIPMENT PURCHASES AND ACTIVITY AUGUST 2014,
Department of Health,03F,30/09/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800090354,"46,760.95",EQUIPMENT COSTS FOR WHEELCHAIR SERVICE (ADULTS) AUGUST 2014,
Department of Health,03F,30/09/2014,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800090355,"36,256.51",EQUIPMENT COSTS FOR WHEELCHAIR SERVICE (CHILDENS) AUGUST 2014,
Department of Health,03F,30/09/2014,Clinical&Medical-Independent Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,JOAN PICKARD LTD,41415,"86,545.68",COUNSELLING SESSIONS JULY 14,
Department of Health,03F,30/09/2014,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,471HC05,"35,248.80",INTERPRETING SERVICES ,
Department of Health,03F,30/09/2014,Clinical&Medical-Independent Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,JOAN PICKARD LTD,51415,"72,016.18",PROVISION OF COUNSELLING SERVICE AUGUST 2014,
Department of Health,03F,30/09/2014,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,583HC06,"33,515.40",INTERPRETATION SERVICES SEP 14,
Department of Health,03F,30/09/2014,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,613,"(32,063.16)",CREIDT RE INV 7410004346,
Department of Health,03F,30/09/2014,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410004346,"32,063.16",QTR 1 PERSONAL HEALTHCARE BUDGET,
Department of Health,03F,30/09/2014,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410004347,"148,754.46",QTR 1 CONTINUING CARE BUDGET,
Department of Health,03F,30/09/2014,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CITY HEALTH CARE PARTNERSHIP CIC,7410004393,"40,425.56",AQP PAIN MANAGEMENT JUNE 2014,
Department of Health,03F,30/09/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410004407,"1,945,936.00",SEPTEMBER 14 BLOCK,
Department of Health,03F,30/09/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410004408,"46,616.00",SEPTEMBER 14 BLOCK,
Department of Health,03F,30/09/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410004413,"46,124.00",SEPTEMBER 14 BLOCK,
Department of Health,03F,30/09/2014,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410004464,"28,586.26",PERSONAL HEALTH BUDGET QTR 1,
Department of Health,03F,30/09/2014,C&M-APMS Contract Value,LOCAL ENHANCED SERVICES,VIRGIN CARE EAST RIDING LLP,803Z332,"69,075.00",HULL CITY INVOICE MAY 2014,
Department of Health,03F,30/09/2014,Clinical&Medical-Voluntary Sector,HOSPICES,DOVE HOUSE HOSPICE,FR010,"46,600.00",CONTRACT FUNDING 14/15,
Department of Health,03F,30/09/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03F011914PFHUL,"419,093.00",STANDARD ACUTE CONTRACT 2014/15,
Department of Health,03F,30/09/2014,Services From Local Authorities,COMMUNITY SERVICES,HULL CITY COUNCIL,1000198026,"123,028.56",CARE IN THE COMMUNITY SEPTEMBER 2014,
Department of Health,03F,30/09/2014,Cont Care-Learning Disab(<65),CHC ADULT JOINT FUNDED,EAST RIDING OF YORKSHIRE COUNCIL,PP34434883,"140,740.55",CONTINUING HEALTHCARE RECHARGES 05/05/14 - 29/06/2014,
Department of Health,03F,30/09/2014,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SH1000814A,"34,344.04",CHC CHARGES AUGUST 2014,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
