Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,System Transaction Number,Amount
Ministry of Justice,NOMS,5/24/2011,Contracted-out Prison Shop,Chief Operating Officers Office,EXEL EUROPE1 LTD,4017282,"1,326,764.00"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Probation Trusts,Humberside Probation Trust,HUMBERSIDE PROBATION TRUST,4001970,"1,270,195.83"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Probation Trusts,Devon and Cornwall Probation Trust,DEVON AND CORNWALL PROBATION TRUST,4012520,"1,250,000.00"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Probation Trusts,Cheshire Probation Trust,CHESHIRE PROBATION TRUST,3999649,"1,200,000.00"
Ministry of Justice,NOMS,10/5/2011,Contracted-out operation of prisons and detention centres,Peterborough,PETERBOROUGH PRISON MANAGEMENT LTD,3997244,"1,192,630.50"
Ministry of Justice,NOMS,5/16/2011,Contracted-out Probation Trusts,Hampshire Probation Trust,HAMPSHIRE PROBATION TRUST,3971294,"1,161,916.67"
Ministry of Justice,NOMS,12/5/2011,Contracted-out operation of prisons and detention centres,Parc,BRIDGEND CUSTODIAL SERVICES LTD,3999503,"1,136,336.40"
Ministry of Justice,NOMS,5/16/2011,WIP - Acquisitions,Estates Capacity,KIER NORTHERN,4004765,"1,117,232.40"
Ministry of Justice,NOMS,5/26/2011,Professional Advice,MOJ Shared Services NOMS Delivery,TREASURY SOLICITORS,4021574,"1,089,251.74"
Ministry of Justice,NOMS,5/13/2011,Contracted-out Escorts,Prisoner Escort & Custody Service (PECS),G4S CARE & JUSTICE SERVICES LTD,3993524,"1,063,313.29"
Ministry of Justice,NOMS,6/5/2011,Contracted-out Escorts,Prisoner Escort & Custody Service (PECS),G4S CARE & JUSTICE SERVICES LTD,3994470,"1,059,337.92"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Probation Trusts,Derbyshire Probation Trust,DERBYSHIRE PROBATION TRUST,3967652,"1,055,166.00"
Ministry of Justice,NOMS,10/5/2011,Funding payments to Probation Boards,West Midlands DOMS Office,STAFFORDSHIRE AND WEST MIDLANDS PROBATION TRUST,3958283,"1,020,000.00"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Escorts,Prisoner Escort & Custody Service (PECS),SERCO LTD,3998038,"1,016,369.91"
Ministry of Justice,NOMS,5/26/2011,Contract IT Maintenance,MOJ Shared Services NOMS Delivery,HP ENTERPRISE SERVICES UK LTD,4022495,"1,011,850.81"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Probation Trusts,Lancashire Probation Trust,LANCASHIRE PROBATION TRUST,3974959,"1,000,000.00"
Ministry of Justice,NOMS,5/13/2011,Contracted-out Escorts,Prisoner Escort & Custody Service (PECS),G4S CARE & JUSTICE SERVICES LTD,3993523,"971,206.50"
Ministry of Justice,NOMS,5/5/2011,Contract IT Maintenance,MoJ ICT,HP ENTERPRISE SERVICES UK LTD,3993732,"944,623.68"
Ministry of Justice,NOMS,11/5/2011,Contracted-out Probation Trusts,Cheshire Probation Trust,CHESHIRE PROBATION TRUST,3977626,"875,000.00"
Ministry of Justice,NOMS,5/13/2011,Contracted-out Probation Trusts,Durham Tees Valley Probation Trust,DURHAM TEES VALLEY PROBATION TRUST,4006707,"867,500.00"
Ministry of Justice,NOMS,5/17/2011,Contracted-out Probation Trusts,South Yorkshire Probation Trust,SOUTH YORKSHIRE PROBATION TRUST,4002962,"833,333.33"
Ministry of Justice,NOMS,5/16/2011,Contracted-out Probation Trusts,Wales Probation Trust,WALES PROBATION TRUST,4007575,"833,333.33"
Ministry of Justice,NOMS,5/16/2011,WIP - Acquisitions,Estates Capacity,KIER REGIONAL LTD,4002376,"816,147.60"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Probation Trusts,Surrey & Sussex Probation Trust,SURREY & SUSSEX PROBATION TRUST,4003327,"800,000.00"
Ministry of Justice,NOMS,5/24/2011,Contracted-out operation of prisons and detention centres,Wolds,G4S CARE & JUSTICE SERVICES LTD,4017440,"786,473.23"
Ministry of Justice,NOMS,12/5/2011,WIP - Acquisitions,MoJ ICT,HP ENTERPRISE SERVICES UK LTD,4003867,"771,796.46"
Ministry of Justice,NOMS,5/16/2011,Other - Acquisitions,Coldingley,HEIDELBERG GRAPHIC EQUIPMENT LTD,3959537,"771,000.00"
Ministry of Justice,NOMS,5/24/2011,Contracted-out operation of prisons and detention centres,Wolds,G4S CARE & JUSTICE SERVICES LTD,3982213,"763,440.93"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Probation Trusts,Avon and Somerset Probation Trust,AVON AND SOMERSET PROBATION TRUST,4002478,"750,000.00"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Probation Trusts,York and North Yorkshire Probation Trust,YORK AND NORTH YORKSHIRE PROBATION TRUST,4023305,"750,000.00"
Ministry of Justice,NOMS,5/17/2011,Contracted-out Probation Trusts,Bedfordshire Probation Trust,BEDFORDSHIRE PROBATION TRUST,4009413,"746,230.25"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Probation Trusts,Bedfordshire Probation Trust,BEDFORDSHIRE PROBATION TRUST,4020231,"746,230.25"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Probation Trusts,Northamptonshire Probation Trust,NORTHAMPTONSHIRE PROBATION TRUST,4020993,"721,000.00"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Probation Trusts,Northamptonshire Probation Trust,NORTHAMPTONSHIRE PROBATION TRUST,3995034,"721,000.00"
Ministry of Justice,NOMS,10/5/2011,Contracted-out Probation Trusts,West Mercia Probation Trust,WEST MERCIA PROBATION TRUST,3999326,"719,667.00"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Probation Trusts,Dorset Probation Trust,DORSET PROBATION TRUST,4009765,"701,117.91"
Ministry of Justice,NOMS,6/5/2011,Contracted-out Escorts,Prisoner Escort & Custody Service (PECS),G4S CARE & JUSTICE SERVICES LTD,3994467,"692,900.38"
Ministry of Justice,NOMS,10/5/2011,Contracted-out Probation Trusts,Avon and Somerset Probation Trust,AVON AND SOMERSET PROBATION TRUST,3975966,"690,800.50"
Ministry of Justice,NOMS,5/16/2011,Contracted-out Other Services,National Operations Group,HOME GROUP LTD (STONHAM),3998263,"688,368.00"
Ministry of Justice,NOMS,9/5/2011,Contracted-out operation of prisons and detention centres,Altcourse,FAZAKERLEY PRISON SERVICES LTD,3999642,"683,411.70"
Ministry of Justice,NOMS,12/5/2011,WIP - Acquisitions,MoJ ICT,HP ENTERPRISE SERVICES UK LTD,4003869,"676,756.75"
Ministry of Justice,NOMS,5/17/2011,Contracted-out Probation Trusts,Norfolk & Suffolk Probation Trust,NORFOLK AND SUFFOLK PROBATION TRUST,3969810,"675,119.63"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Probation Trusts,Cumbria Probation Trust,CUMBRIA PROBATION TRUST,4020434,"671,000.00"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Probation Trusts,Norfolk & Suffolk Probation Trust,NORFOLK AND SUFFOLK PROBATION TRUST,4002024,"666,666.67"
Ministry of Justice,NOMS,9/5/2011,WIP - Acquisitions,Estates Capacity,KIER REGIONAL LTD,3998146,"637,011.29"
Ministry of Justice,NOMS,5/5/2011,Prison Shop Cost of Sales,Chief Operating Officers Office,EXEL EUROPE1 LTD,3995471,"635,952.14"
Ministry of Justice,NOMS,5/16/2011,Prison Shop Cost of Sales,Chief Operating Officers Office,EXEL EUROPE1 LTD,4004889,"626,547.26"
Ministry of Justice,NOMS,5/20/2011,Rates and Ground Rents,Estates Capacity,MERSEY CARE N H S TRUST,1938075,"625,000.00"
Ministry of Justice,NOMS,5/24/2011,Contract IT Maintenance,MoJ ICT,NPIA,4018145,"600,000.00"
Ministry of Justice,NOMS,5/5/2011,Contracted-out Probation Trusts,Cumbria Probation Trust,CUMBRIA PROBATION TRUST,3980394,"586,666.67"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Probation Trusts,Gloucestershire Probation Trust,GLOUCESTERSHIRE PROBATION TRUST,4022184,"584,587.50"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Probation Trusts,Wiltshire Probation Trust,WILTSHIRE PROBATION TRUST,3980453,"577,692.66"
Ministry of Justice,NOMS,5/16/2011,Contracted-out Probation Trusts,Gloucestershire Probation Trust,GLOUCESTERSHIRE PROBATION TRUST,4008690,"569,979.17"
Ministry of Justice,NOMS,5/5/2011,Contracted-out operation of prisons and detention centres,Dovegate,MORETON PRISON SERVICES LTD,3995104,"565,440.25"
Ministry of Justice,NOMS,6/5/2011,Contracted-out Escorts,Prisoner Escort & Custody Service (PECS),G4S CARE & JUSTICE SERVICES LTD,3994469,"559,623.25"
Ministry of Justice,NOMS,4/5/2011,WIP - Acquisitions,Estates Capacity,INTERSERVE PROJECT SERVICES LTD,3961881,"553,849.64"
Ministry of Justice,NOMS,5/16/2011,Contracted-out Escorts,Prisoner Escort & Custody Service (PECS),G4S CARE & JUSTICE SERVICES LTD,3994474,"507,006.67"
Ministry of Justice,NOMS,5/26/2011,Contract IT Maintenance,MOJ Project & ATOS,HP ENTERPRISE SERVICES UK LTD,4022495,"488,606.24"
Ministry of Justice,NOMS,9/5/2011,Contracted-out Probation Trusts,Lincolnshire Probation Trust,LINCOLNSHIRE PROBATION TRUST,3973101,"458,333.33"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Probation Trusts,Nottinghamshire Probation Trust,NOTTINGHAMSHIRE PROBATION TRUST,3998144,"416,666.67"
Ministry of Justice,NOMS,5/17/2011,Contracted-out Probation Trusts,Hertfordshire Probation Trust,HERTFORDSHIRE PROBATION TRUST,3973260,"416,666.67"
Ministry of Justice,NOMS,5/17/2011,Contracted-out Probation Trusts,Norfolk & Suffolk Probation Trust,NORFOLK AND SUFFOLK PROBATION TRUST,4002024,"416,666.67"
Ministry of Justice,NOMS,5/26/2011,Prison Shop Cost of Sales,Chief Operating Officers Office,EXEL EUROPE1 LTD,4020763,"401,938.13"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Probation Trusts,Warwickshire Probation Trust,WARWICKSHIRE PROBATION TRUST,4002777,"400,000.00"
Ministry of Justice,NOMS,5/16/2011,WIP - Acquisitions,Estates Capacity,ISG REGIONS LTD,4006698,"382,250.40"
Ministry of Justice,NOMS,10/5/2011,Contracted-out Probation Trusts,Cambridgeshire Probation Trust,CAMBRIDGESHIRE & PETERBOROUGH PROBATION TRUST,3970048,"373,113.58"
Ministry of Justice,NOMS,5/16/2011,Inter-Unit Charge (IUC),MoJ ICT,HP ENTERPRISE SERVICES UK LTD,3936467,"366,535.67"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Probation Trusts,Leicestershire Probation Trust,LEICESTERSHIRE&RUTLAND PROBATION TRUST,3957982,"350,000.00"
Ministry of Justice,NOMS,5/26/2011,Prison Shop Cost of Sales,Chief Operating Officers Office,EXEL EUROPE1 LTD,4011168,"334,103.36"
Ministry of Justice,NOMS,5/16/2011,Contracted-out Probation Trusts,Lancashire Probation Trust,LANCASHIRE PROBATION TRUST,3974959,"333,333.33"
Ministry of Justice,NOMS,9/5/2011,WIP - Acquisitions,Estates Capacity,SHAYLOR CONSTRUCTION LTD,3998235,"328,105.20"
Ministry of Justice,NOMS,5/13/2011,WIP - Acquisitions,Estates Capacity,HENRY BOOT CONSTRUCTION (U K) LTD,4003449,"327,658.61"
Ministry of Justice,NOMS,12/5/2011,WIP - Acquisitions,MoJ ICT,HP ENTERPRISE SERVICES UK LTD,4003868,"325,890.72"
Ministry of Justice,NOMS,5/17/2011,Other - Acquisitions,Coldingley,HEIDELBERG GRAPHIC EQUIPMENT LTD,3959535,"324,000.00"
Ministry of Justice,NOMS,12/5/2011,"New structural works, structural maintenance and equipment",Estates Capacity,VINCI CONSTRUCTION UK LTD,4001697,"318,189.60"
Ministry of Justice,NOMS,5/13/2011,Contracted-out operation of prisons and detention centres,Wales/Cymru DOMS Office,BRIDGEND CUSTODIAL SERVICES LTD,3999506,"310,521.60"
Ministry of Justice,NOMS,11/5/2011,Contracted-out Probation Trusts,Cambridgeshire Probation Trust,CAMBRIDGESHIRE & PETERBOROUGH PROBATION TRUST,4003068,"300,000.00"
Ministry of Justice,NOMS,5/17/2011,Contracted-out Probation Trusts,Avon and Somerset Probation Trust,AVON AND SOMERSET PROBATION TRUST,4009764,"300,000.00"
Ministry of Justice,NOMS,5/26/2011,WIP - Acquisitions,Estates Capacity,HENRY BOOT CONSTRUCTION (U K) LTD,4012713,"298,480.80"
Ministry of Justice,NOMS,5/23/2011,WIP - Acquisitions,Estates Capacity,KIER REGIONAL LTD,3998252,"294,650.40"
Ministry of Justice,NOMS,5/13/2011,"New structural works, structural maintenance and equipment",Estates Capacity,ISG REGIONS LTD,4006702,"287,512.80"
Ministry of Justice,NOMS,10/5/2011,Contracted-out Probation Trusts,Staffordshire & West Midlands Probation Trust,STAFFORDSHIRE AND WEST MIDLANDS PROBATION TRUST,3967647,"266,666.67"
Ministry of Justice,NOMS,5/17/2011,Contracted-out operation of prisons and detention centres,Parc,BRIDGEND CUSTODIAL SERVICES LTD,4007444,"260,121.24"
Ministry of Justice,NOMS,6/5/2011,Contracted-out Resettlement Services,Newday ESF,WORKING LINKS,3926064,"253,145.45"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Probation Trusts,Northamptonshire Probation Trust,NORTHAMPTONSHIRE PROBATION TRUST,3984908,"250,000.00"
Ministry of Justice,NOMS,5/23/2011,WIP - Acquisitions,Estates Capacity,WILLMOTT DIXON CONSTRUCTION LTD,4016784,"248,897.71"
Ministry of Justice,NOMS,5/16/2011,WIP - Acquisitions,Estates Capacity,CALEDONIAN BUILDING SYSTEMS,4007348,"240,000.00"
Ministry of Justice,NOMS,5/26/2011,WIP - Acquisitions,MoJ ICT,HP ENTERPRISE SERVICES UK LTD,4022179,"239,833.07"
Ministry of Justice,NOMS,5/25/2011,WIP - Acquisitions,Estates Capacity,KIER REGIONAL LTD,4020149,"238,813.20"
Ministry of Justice,NOMS,5/20/2011,Contracted-out Resettlement Services,Newday ESF,SOVA,4015276,"237,800.00"
Ministry of Justice,NOMS,12/5/2011,WIP - Acquisitions,Estates Capacity,VINCI CONSTRUCTION UK LTD,4001700,"221,211.60"
Ministry of Justice,NOMS,5/13/2011,WIP - Acquisitions,Estates Capacity,LORNE STEWART PLC,4006594,"215,794.80"
Ministry of Justice,NOMS,5/5/2011,Contracted-out Computer Services,Quantum,HP ENTERPRISE SERVICES UK LTD,3993738,"211,375.40"
Ministry of Justice,NOMS,5/26/2011,Prison Shop Cost of Sales (No VAT),Chief Operating Officers Office,EXEL EUROPE1 LTD,4020763,"207,039.24"
Ministry of Justice,NOMS,10/5/2011,WIP - Acquisitions,Estates Capacity,INTERSERVE PROJECT SERVICES LTD,3999475,"203,166.46"
Ministry of Justice,NOMS,9/5/2011,WIP - Acquisitions,Estates Capacity,VINCI CONSTRUCTION UK LTD,3991880,"196,800.00"
Ministry of Justice,NOMS,5/17/2011,Contracted-out operation of prisons and detention centres,Parc,BRIDGEND CUSTODIAL SERVICES LTD,4007445,"195,076.80"
Ministry of Justice,NOMS,5/19/2011,Contracted-out operation of prisons and detention centres,Altcourse,FAZAKERLEY PRISON SERVICES LTD,3988087,"193,463.36"
Ministry of Justice,NOMS,6/5/2011,Contracted-out Other Services,Quantum,HP ENTERPRISE SERVICES UK LTD,3993831,"192,070.96"
Ministry of Justice,NOMS,12/5/2011,Counselling & Advisory Costs,Lindholme,DONCASTER PRIMARY CARE TRUST,3927940,"187,599.00"
Ministry of Justice,NOMS,10/5/2011,"New structural works, structural maintenance and equipment",TSS - South Central,HUFFEY GROUP LTD,3959142,"181,255.08"
Ministry of Justice,NOMS,5/26/2011,Prison Shop Cost of Sales (No VAT),Chief Operating Officers Office,EXEL EUROPE1 LTD,4011168,"177,133.46"
Ministry of Justice,NOMS,5/20/2011,Contracted-out Probation Trusts,York and North Yorkshire Probation Trust,YORK AND NORTH YORKSHIRE PROBATION TRUST,4015252,"175,000.00"
Ministry of Justice,NOMS,5/24/2011,WIP - Acquisitions,Estates Capacity,CARILLION CONSTRUCTION LTD,4018667,"174,499.20"
Ministry of Justice,NOMS,5/16/2011,WIP - Acquisitions,Estates Capacity,VINCI CONSTRUCTION UK LTD,4008313,"171,733.22"
Ministry of Justice,NOMS,5/26/2011,Contracted-out Other Services,Wealstun,COFATHEC ENERGY PFI LTD,3882849,"165,930.42"
Ministry of Justice,NOMS,5/26/2011,"New structural works, structural maintenance and equipment",MOJ Shared Services NOMS Delivery,KIER FACILITIES SERVICES LIMITED,4013084,"164,400.00"
Ministry of Justice,NOMS,9/5/2011,Contracted-out Resettlement Services,NOMS CFO,PERTEMPS PEOPLE DEVELOPMENT GROUP,3996486,"160,478.88"
Ministry of Justice,NOMS,5/5/2011,WIP - Acquisitions,Estates Capacity,KIER REGIONAL LTD,3995437,"160,200.00"
Ministry of Justice,NOMS,5/26/2011,WIP - Acquisitions,Estates Capacity,INTERSERVE PROJECT SERVICES LTD,4012460,"152,796.00"
Ministry of Justice,NOMS,5/5/2011,Contracted-out Other Services,Quantum,HP ENTERPRISE SERVICES UK LTD,3994511,"151,271.66"
Ministry of Justice,NOMS,5/26/2011,Contracted-out Other Services,Wealstun,COFATHEC ENERGY PFI LTD,3921410,"150,056.24"
Ministry of Justice,NOMS,4/5/2011,Gas,Kirkham,COFATHEC ENERGY PFI LTD,3969962,"148,880.35"
Ministry of Justice,NOMS,5/5/2011,Office Equipment Purchases Under £10k,MoJ ICT,HP ENTERPRISE SERVICES UK LTD,3993820,"145,567.99"
Ministry of Justice,NOMS,5/20/2011,WIP - Acquisitions,Estates Capacity,SHEPHERD CONSTRUCTION LTD,4006593,"144,250.80"
Ministry of Justice,NOMS,5/26/2011,Consultancy,Workforce Modernisation Programme,PARITY RESOURCES LTD,3956254,"139,638.00"
Ministry of Justice,NOMS,5/19/2011,"Prisoner Compensation over £5,000",Chief Operating Officers Office,TREASURY SOLICITORS,4013894,"139,518.36"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Medical services,Whitemoor,CAMBRIDGESHIRE & PETERBOROUGH MENTAL HEALTH PARTNERSHIP,3968693,"139,343.02"
Ministry of Justice,NOMS,5/24/2011,Contracted-out Building Maintenance,Brixton,CARILLION SERVICES 2006 LTD,3995674,"138,474.75"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Medical services,Whitemoor,CAMBRIDGESHIRE & PETERBOROUGH MENTAL HEALTH PARTNERSHIP,3967167,"136,084.89"
Ministry of Justice,NOMS,5/26/2011,Contracted-out Other Services,Wealstun,COFATHEC ENERGY PFI LTD,3968905,"135,260.42"
Ministry of Justice,NOMS,5/26/2011,Contracted-out Medical services,Whitemoor,CAMBRIDGESHIRE & PETERBOROUGH MENTAL HEALTH PARTNERSHIP,4012687,"131,910.70"
Ministry of Justice,NOMS,5/19/2011,Subsistence,HOPS Payroll Charge,CALDER CONFERENCE,4013943,"131,608.66"
Ministry of Justice,NOMS,5/16/2011,"New structural works, structural maintenance and equipment",Frankland,F P S (FIRE PROTECTION) LTD,4000031,"125,796.00"
Ministry of Justice,NOMS,5/20/2011,Contracted-out Other Services,North East DOMS Office,TEES ESK AND WEAR VALLEYS NHS TRUST,4010458,"125,000.00"
Ministry of Justice,NOMS,5/19/2011,WIP - Professional Fees,Estates Capacity,HENRY BOOT CONSTRUCTION (U K) LTD,4012714,"121,644.13"
Ministry of Justice,NOMS,5/5/2011,Counselling & Advisory Costs,ROM - Yorkshire & Humberside,LIFELINE PROJECT,3993799,"120,557.16"
Ministry of Justice,NOMS,6/5/2011,Consultancy,Estates Capacity,FAITHFUL + GOULD,3994714,"118,943.27"
Ministry of Justice,NOMS,5/26/2011,Probation - Approved Premisis,Public Protection and Mental Health Group,LANGLEY HOUSE TRUST,4021504,"118,850.00"
Ministry of Justice,NOMS,5/13/2011,Occupational Health Services,MOJ Project & ATOS,ATOS ORIGIN IT SERVICES UK LTD,4005513,"118,503.07"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Resettlement Services,NOMS CFO,MERSEYSIDE PROBATION TRUST,3980387,"117,121.27"
Ministry of Justice,NOMS,5/16/2011,Contracted-out Resettlement Services,NOMS CFO,MERSEYSIDE PROBATION TRUST,4007342,"117,121.27"
Ministry of Justice,NOMS,5/26/2011,Contracted-out Other Services,Wealstun,COFATHEC ENERGY PFI LTD,4000685,"116,168.28"
Ministry of Justice,NOMS,5/18/2011,Contracted-out Resettlement Services,NOMS CFO,A4E CONSULTING LTD,3959273,"115,896.32"
