Purchased quantities of household food & drink by income quintile Averages per person per week Quintile 1	Code	Description				Units	2001-02	2002-03	2003-04	2004-05	2005-06	2006	2007	2008	2009	2010	2011	2012	2013
	10202			White fish, frozen		g	20	19	10	10	7	7	8	7	7	8	7	13	6
	10601			Herrings and other blue fish, fresh or chilled		g	5	4	8	5	4	7	4	7	3	3	4	2	4
	10602			Herrings and other blue fish, frozen		g	0	1	0	0	0	0	1	0	0	0	0	1	0
	10701			Salmon, fresh or chilled		g	4	5	7	7	8	8	7	8	11	11	8	6	8
	10702			Salmon, frozen		g	1	3	0	1	1	1	2	2	2	3	1	1	2
	10801		Blue fish, dried or salted or smoked			g	4	6	5	5	7	5	5	5	6	6	7	6	6
	11401		White fish, dried, salted or smoked			g	6	4	5	5	3	4	3	4	6	3	3	3	3
	11702			Shellfish, fresh or chilled		g	2	2	4	4	4	3	4	4	4	3	4	5	5
	11703			Shellfish, frozen		g	7	5	3	6	4	3	5	4	4	7	4	4	4
	11801		Takeaway fish			g	15	13	12	14	9	11	10	8	9	9	10	6	6
	11901		Salmon, tinned			g	11	11	8	8	8	7	6	6	8	5	4	4	3
	12001		Other tinned or bottled fish			g	35	34	27	32	31	35	34	25	26	22	24	22	22
	12103		Ready meals and other fish products - frozen or not frozen			g	44	43	51	54	67	63	65	56	57	63	70	57	62
	12304			Takeaway fish products		g	1	1	1	0	1	1	1	1	1	1	1	0	0
	12305			Takeaway fish based meals		g	1	1	1	1	1	1	1	1	1	1	1	1	1
	12901	Eggs				no.	2	2	2	2	2	2	2	2	2	2	2	2	2
	13501		Butter			g	47	46	42	46	41	47	51	46	45	39	45	45	48
	13801			Soft margarine		g	17	19	19	11	23	19	24	29	29	28	25	27	30
	13802			Other margarine		g	1	1	2	7	4	3	4	4	1	2	5	4	3
	13901		Lard, cooking fat			g	12	7	10	8	8	7	5	6	6	4	4	5	4
	14304			Olive oil		ml	8	9	5	8	11	11	10	10	13	8	11	18	11
	14305			Other vegetable and salad oils		ml	63	58	61	49	62	76	61	59	59	75	62	58	49
	14802			Reduced fat spreads		g	71	65	63	61	46	49	55	47	46	51	49	36	36
	14803			Low fat spreads		g	19	16	14	28	18	13	16	12	16	11	15	15	14
	14805			Suet and dripping		g	2	1	2	2	1	1	2	1	1	1	2	1	1
	14807			Imitatation cream		g	7	8	8	7	8	8	10	9	8	10	9	7	6
	15001		Sugar			g	181	161	170	145	138	139	138	131	127	128	132	139	126
	15101		Jams and fruit curds			g	19	21	16	19	20	22	21	19	18	20	17	18	17
	15201		Marmalade			g	16	16	12	16	15	13	13	15	11	12	12	14	10
	15301		Syrup, treacle			g	4	3	5	4	2	3	3	2	5	4	4	4	3
	15401		Honey			g	6	6	4	8	7	8	7	7	6	8	7	8	10
	15505			Fresh new potatoes (f)		g				96	112	104	97	86	83	89	92	84	71
	15506			Fresh baking potatoes (f)		g				44	47	44	60	51	47	52	55	64	52
	15504			Other fresh potatoes (f)		g				489	522	433	483	433	453	415	418	372	362
	19702				Chips - frozen or not frozen	g	117	103	118	93	125	98	119	113	129	126	147	131	122
	19703				Takeaway chips	g	49	44	48	45	38	38	35	33	32	31	38	34	25
	19801			Instant potato		g	6	3	4	4	4	4	3	2	3	3	2	1	2
	19901			Canned potatoes		g	12	9	9	11	9	8	8	5	3	6	6	6	7
	20002			Crisps and potato snacks		g	53	46	49	49	50	51	50	48	48	53	54	46	50
	20101			Other potato products, frozen or not frozen		g	44	38	47	43	43	39	45	48	42	41	48	48	66
	16201			Fresh cabbages		g	56	59	48	57	49	53	60	44	43	35	41	40	42
	16301			Fresh brussels sprouts		g	18	16	15	17	17	13	21	17	25	15	12	11	11
	16401			Fresh cauliflower		g	75	78	70	72	70	64	79	63	64	48	53	56	59
	16701				Lettuce and leafy salads	g	52	44	42	43	43	41	45	35	39	32	31	28	36
	16702				Prepared lettuce salads	g		10	11	13	13	12	11	12	11	13	13	15	14
	16801			Fresh peas		g	7	5	5	5	8	4	5	2	5	5	3	4	4
	16901			Fresh beans		g	19	24	22	23	24	17	19	19	20	15	18	16	19
	17101			Other fresh green vegetables		g	2	5	4	5	5	7	5	4	6	5	5	6	7
	17201			Fresh carrots		g	94	97	87	107	94	92	120	99	106	85	90	86	97
	17301			Fresh turnips and swede		g	24	24	21	26	23	25	32	25	16	15	15	18	17
	17401			Other fresh root vegetables		g	22	23	25	35	26	30	31	34	42	31	35	31	33
	17501			Fresh onions, leeks and shallots		g	87	100	93	99	107	96	96	99	114	104	104	97	123
	17601			Fresh cucumbers		g	32	31	29	32	37	33	36	28	33	28	30	31	43
	17701			Fresh mushrooms		g	28	27	26	28	27	26	29	25	23	29	29	31	31
	17801			Fresh tomatoes		g	104	104	98	108	114	97	94	82	97	94	86	78	96
	18301				Fresh vegetable stewpack, stirfry pack etc.	g	10	9	16	17	23	25	24	28	30	28	21	31	30
	18302				Fresh stem vegetables	g	15	16	16	22	22	19	17	20	20	16	14	16	19
	18303				Fresh marrow, courgettes, aubergine, pumpkin and other vegetables	g	27	32	31	34	38	38	36	32	45	34	35	46	47
	18304				Fresh herbs	g	3	2	3	3	3	2	3	3	3	4	3	3	6
	18401			Tomatoes, canned or bottled		g	45	46	40	38	40	42	41	35	40	45	34	41	52
	18501			Peas, canned		g	43	42	41	41	39	33	39	30	33	26	34	33	24
	18802				Baked beans in sauce	g	114	110	98	92	101	90	105	112	101	97	110	96	99
	18803				Other canned beans and pulses	g	9	17	7	9	13	10	13	14	13	14	13	13	14
	19101			Other canned vegetables		g	25	30	28	28	24	23	28	21	20	21	19	26	24
	19201			Dried pulses other than air-dried		g	4	8	4	7	9	12	7	4	8	8	7	8	11
	19501			Air-dried vegetables		g	0	0	0	0	0	0	1	0	0	0	0	0	0
	19602				Tomato puree and vegetable purees	ml	4	3	2	3	3	2	2	2	3	3	3	2	3
	19603				Vegetable juices eg tomato juice, carrot juice	ml	2	4	5	7	7	10	3	4	4	5	5	5	1
	20301			Peas, frozen		g	26	27	21	29	28	26	35	25	20	28	32	27	26
	20401			Beans, frozen		g	5	6	6	6	5	5	7	4	7	3	4	6	7
	20601				Ready meals and other vegetable products, frozen or not frozen	g	38	40	39	38	46	40	41	44	39	46	43	47	53
	20604				All vegetable takeaway products	g	14	9	13	11	8	9	8	8	17	13	10	6	6
	20801			Other frozen vegetables		g	50	45	47	35	45	42	45	43	51	52	58	56	59
	21001			Fresh oranges		g	67	68	81	72	68	61	59	51	65	49	47	57	64
	21401			Other fresh citrus fruits		g	67	87	74	75	79	74	89	67	70	46	63	62	62
	21701			Fresh apples		g	178	149	152	160	170	154	160	146	129	131	117	111	119
	21801			Fresh pears		g	44	45	37	48	51	55	48	52	47	41	40	36	46
	22101			Fresh stone fruit		g	59	64	49	65	73	62	60	45	49	48	43	50	48
	22201			Fresh grapes		g	43	46	51	50	67	64	63	56	47	43	46	45	44
	22701			Other fresh soft fruit		g	27	23	28	32	27	30	37	34	37	28	35	48	37
	22801			Fresh bananas		g	210	232	207	234	237	229	255	241	215	200	222	221	223
	22901			Fresh melons		g	32	35	33	26	37	26	26	21	26	23	17	32	21
	23101			Other fresh fruit		g	14	21	16	20	20	31	31	28	37	28	26	31	38
	23301			Tinned peaches, pears and pineapples		g	26	27	26	27	21	23	21	17	19	17	20	20	19
	23601			All other tinned or bottled fruit		g	32	29	28	33	28	28	32	26	24	21	21	25	25
	24001			Dried fruit		g	19	21	16	16	26	23	24	23	17	16	13	19	22
	24101			Frozen strawberries, apple slices, peach halves, oranges and other frozen fruits		g	1	0	1	1	1	3	1	1	2	1	1	1	1
	24502				Nuts and edible seeds	g	11	12	17	16	22	20	22	18	22	15	18	19	20
	24503				Peanut butter	g	3	2	2	3	2	2	3	2	2	4	4	2	4
	24801			Pure fruit juices (g)		ml	258	267	216	241	291	299	228	247	211	221	223	233	210
	25102			White bread, standard, unsliced		g	59	64	56	81	43	39	40	37	31	23	28	25	27
	25202			White bread, standard, sliced		g	477	428	436	357	402	346	417	342	371	351	354	322	317
	25701			White bread, premium, sliced and unsliced		g	32	26	8	13	9	5	4	2	1	1	2	2	2
	25801			White bread, soft grain, sliced and unsliced		g	3	2	2	4	2	2	2	3	4	2	1	1	3
	25901			Brown bread, sliced and unsliced		g	52	56	55	69	54	43	45	44	46	31	48	43	38
	26001			Wholemeal and granary bread, sliced and unsliced		g	122	121	101	130	146	143	152	146	143	121	148	130	129
	26302			Rolls - white, brown or wholemeal		g	64	71	62	68	60	64	65	61	64	71	60	61	65
	26303			Malt bread and fruit loaves		g	10	9	7	9	8	11	12	13	12	13	6	10	7
	26304			Vienna and french bread		g	29	24	20	20	22	24	22	21	20	25	22	20	20
	26305			Starch reduced bread and rolls		g	14	19	21	25	17	20	16	20	20	16	19	17	10
	26308			Other breads		g	31	26	34	30	36	34	44	41	41	43	44	53	62
	26309			Sandwiches		g	7	8	6	9	8	9	11	10	11	11	14	13	13
	26310			Sandwiches from takeaway		g	3	3	4	2	4	2	2	4	3	2	2	3	3
	26311			Takeaway breads		g	1	1	1	1	2	2	1	2	1	1	1	1	1
	26401	Flour				g	66	64	56	79	63	88	45	51	52	69	59	107	65
	27001			Cakes and pastries, not frozen		g	132	136	135	137	137	129	146	123	127	129	121	123	116
	27002			Takeaway pastries		g	3	2	3	2	2	2	2	2	2	2	1	1	1
	26701		Buns, scones and teacakes			g	38	43	43	52	50	51	51	50	51	48	54	49	51
	27702		Chocolate biscuits			g	66	65	55	60	57	55	52	54	55	54	58	51	51
	27402			Sweet biscuits (not chocolate) and cereal bars		g	89	98	97	104	100	101	113	115	100	99	107	99	99
	27403			Cream crackers and other unsweetened biscuits		g	16	14	13	17	14	12	15	13	16	12	14	13	14
	27101		Crispbread			g	6	4	4	6	7	5	6	5	5	5	5	5	8
	28101		Oatmeal and oat products			g	19	17	12	20	21	23	22	19	23	20	19	24	26
	28202			Muesli		g	14	15	10	17	15	14	13	12	14	16	12	11	18
	28203			High fibre breakfast cereals		g	60	46	54	56	58	57	58	60	50	46	46	40	47
	28204			Sweetened breakfast cereals		g	27	27	23	27	27	24	27	31	31	32	30	25	29
	28205			Other breakfast cereals		g	34	29	30	27	26	31	29	31	24	29	34	30	37
	28502			Canned or fresh carton custard		g	14	15	17	18	18	16	18	24	19	18	17	14	15
	28503			All canned milk puddings		g	26	26	22	26	21	18	19	20	22	22	23	16	17
	28601		Puddings			g	10	8	10	11	12	12	11	11	11	15	11	9	7
	28702			Dried rice		g	61	63	49	55	57	77	53	64	72	64	50	78	69
	28703			Cooked rice		g	4	3	3	3	4	5	6	8	10	8	11	12	12
	28704			Takeaway rice		g	11	10	11	15	13	10	11	9	12	9	12	7	7
	29001		Invalid foods, slimming foods and sports foods			g	1	3	5	4	3	6	2	2	7	2	2	1	2
	29101		Infant cereal foods			g	1	1	1	1	1	1	0	0	1	1	0	1	0
	29402		Cakes and pastries - frozen			g	13	12	12	8	7	10	9	14	10	10	10	14	12
	29501			Canned pasta		g	33	34	29	26	32	32	32	31	26	24	29	24	25
	29502			Dried and fresh pasta		g	39	52	39	42	44	43	60	52	49	57	65	58	53
	29503			Takeaway pasta and noodles		g	0	0	0	1	1	1	1	1	1	1	0	1	1
	29601			Pizzas, frozen and not frozen		g	33	34	38	37	47	39	42	40	41	50	55	50	50
	29602			Takeaway pizza		g	14	13	14	19	15	12	17	13	14	14	16	23	15
	29907			Cake, pudding and dessert mixes		g	9	12	7	6	6	7	6	6	6	8	7	7	7
	29909			Cereal snacks		g	15	16	13	12	13	14	16	13	15	13	18	15	17
	29915			Quiches and flans, frozen and not frozen		g	9	13	13	13	10	12	12	14	12	11	11	9	11
	29916			Takeaway crisps, savoury snacks, popcorn, popadums, prawn crackers		g	0	1	1	0	0	0	0	0	0	0	1	0	0
	29919			Other cereal foods, frozen and not frozen		g	24	23	27	27	32	27	37	34	39	43	39	32	38
	30101		Other cereals			g	8	3	5	2	5	18	5	11	8	2	6	6	5
	30401		Tea			g	49	47	42	45	49	44	42	42	39	37	39	37	35
	30701		Coffee beans and ground coffee			g	2	2	2	3	2	1	3	3	2	3	2	3	5
	30801		Instant coffee			g	15	13	12	16	15	14	16	16	15	17	17	18	17
	30901		Coffee essences			ml	0	0	0	0	0	0	0	0	0	0	0	0	0
	31001		Tea and coffee from takeaway			ml	0	0	0	1	0	0	1	1	0	0	0	0	1
	31201		Cocoa and chocolate drinks			g	6	5	5	5	6	6	6	7	6	6	6	7	7
	31301		Malt drinks and chocolate versions of malted drinks			g	6	7	6	6	5	5	6	3	3	5	4	3	4
	31401		Mineral or spring waters			ml	145	158	165	169	190	240	187	151	226	192	283	256	260
	31501		Baby foods			g	7	6	11	4	9	11	6	4	4	6	10	8	6
	31801		Soups - canned or cartons			g	92	85	78	84	86	94	92	85	86	98	92	107	84
	31901		Soups - dehydrated or powdered			g	5	5	4	5	6	5	5	6	6	4	6	6	5
	32001		Soups - from takeaway			g	0	0	0	0	1	1	1	0	0	0	0	0	0
	32302			Salad dressings		g	22	22	23	24	23	29	29	29	30	28	36	31	33
	32303			Other spreads and dresssings		g	2	2	4	4	3	5	5	5	4	4	6	6	7
	32702			Pickles		g	20	19	15	17	12	14	13	16	14	16	13	15	17
	32703			Sauces		g	72	69	76	80	90	83	93	101	95	98	100	102	103
	32704			Takeaway sauces and mayonnnaise		g	0	0	1	1	1	0	1	0	1	0	0	0	0
	32801		Stock cubes and meat and yeast extracts			g	4	4	4	4	4	3	5	4	6	6	5	3	6
	32901		Jelly squares or crystals			g	6	4	4	4	4	4	4	4	5	8	5	4	6
	33203		Ice cream tub or block			ml	110	119	130	132	93	118	110	101	119	98	106	104	107
	33302			Ice cream cornets, choc-ices, lollies with ice cream		ml	41	51	54	42	41	60	48	36	40	49	48	50	39
	33303			Ice lollies, sorbet, frozen mousse, frozen yoghurt		ml	20	22	20	18	17	21	17	25	22	18	35	31	23
	33304			Takeaway ice cream, ice cream products, milkshakes		ml	3	2	5	2	2	1	1	3	1	1	1	1	2
	33901		Soya and novel protein foods			g	2	3	4	3	6	4	6	4	4	5	3	5	4
	33401		Salt			g	18	17	14	15	14	10	10	11	14	18	11	10	16
	32101		Other takeaway food brought home			g	1	0	0	0	0	0	0	0	0	0	0	0	1
	32201		Meals on wheels - items not specified			g	0	4	7	1	1	2	4	2	0	7	3	2	0
	34001		Soft drinks, concentrated, not low calorie (h)			ml	535	581	554	522	564	669	625	599	595	573	407	316	319
	34101		Soft drinks, not concentrated,  not low calorie			ml	667	590	664	744	666	631	584	560	620	603	627	629	579
	34301		Soft drinks, concentrated, low calorie (h)			ml	164	132	117	120	97	155	153	145	146	174	169	260	294
	34401		Soft drinks, not concentrated, low calorie			ml	237	267	252	237	217	299	223	183	225	210	275	356	306
	35001		Chocolate bars - solid			g	24	28	27	27	31	27	32	29	30	31	31	28	32
	35101		Chocolate bars - filled			g	51	47	49	53	48	49	61	63	62	50	57	52	48
	35202		Chewing gum			g	2	1	1	2	2	2	2	2	2	1	1	1	1
	35301			Mints		g	4	7	6	6	7	6	5	6	6	4	4	1	2
	35302			Boiled sweets		g	34	34	37	34	30	29	30	35	35	33	37	39	42
	35401		Fudges, toffees, caramels			g	5	6	5	6	6	4	5	5	6	5	5	6	6
	35501		Takeaway confectionery			g	0	0	0	0	0	0	0	0	0	0	0	0	0
	38102		Beers			ml	64	66	78	67	58	78	101	96	83	64	68	57	53
	38202		Lagers and continental beers			ml	194	181	243	245	182	215	164	206	238	251	250	173	180
	38302		Ciders and perry			ml	56	68	87	70	79	68	89	100	76	140	118	88	94
	38402			Champagne, sparkling wines and wine with mixer		ml	5	5	7	5	7	5	5	3	1	5	2	6	6
	38403			Table wine		ml	100	100	94	111	124	102	123	120	120	125	126	143	126
	38501		Spirits with mixer			ml	0	0	0	1	1	2	0	0	0	1	1	2	1
	38601		Fortified wines			ml	17	20	19	18	16	10	24	13	12	10	7	7	10
	38701		Spirits			ml	34	31	36	30	31	32	43	32	36	30	30	48	41
	38801		Liqueurs and cocktails			ml	2	4	5	5	5	4	5	5	5	6	4	6	6
	38901		Alcopops			ml	11	8	23	8	9	10	3	5	7	6	10	6	7
Purchased quantities of household food & drink by income quintile Averages per person per week Quintile 2	Code	Description				Units	2001-02	2002-03	2003-04	2004-05	2005-06	2006	2007	2008	2009	2010	2011	2012	2013
	501			School milk (d)		ml													
	601			Welfare milk(i)		ml	18	31	29	23	26	15	27	25	17				
	402				UHT milk	ml	8	2	30	20	18	12	12	17	20	14	6	2	6
	403				Sterilised	ml	35	38	10	10	11	7	7	3	2	2	1	2	0
	404				Pasteurised/ homogenised	ml	684	658	724	562	530	524	504	499	554	449	463	353	420
	1502				Fully skimmed milk	ml	159	152	177	170	145	202	178	162	152	153	178	185	178
	1503				Semi-skimmed milk	ml	1,021	964	1,037	1,018	1,123	1,109	1,063	1,063	981	1,027	1,060	1,102	1,072
	901			Condensed or evaporated milk		eq ml	24	32	38	37	28	37	33	30	23	33	22	24	24
	1102				Infant or baby milks - ready to drink	eq ml	0	0	5	1	1	4	2	2	1	6	2	1	1
	1103				Infant or baby milks - dried	eq ml	18	20	20	34	22	38	58	45	42	47	57	50	43
	1201			Instant dried milk		eq ml	67	18	17	10	18	12	26	7	18	13	5	9	6
	1301				Yoghurt	ml	118	134	148	151	181	176	168	165	176	186	157	161	158
	1302				Fromage frais	ml	10	13	14	14	14	16	21	22	18	13	15	15	14
	1603				Dairy desserts - not frozen	ml	42	40	51	44	45	42	47	46	50	42	45	43	42
	1605				Dried milk products	ml	2	8	9	1	2	4	4	2	5	0	2	12	5
	1607				Milk drinks and other milks (e)	ml	28	53	36	20	19	22	30	19	23	26	29	22	34
	1608				Non-dairy milk substitutes (e)	ml				18	16	22	17	32	19	20	25	35	34
	1701			Cream		ml	18	19	17	16	18	19	20	19	18	18	21	20	22
	2201			Hard cheese - cheddar type		g	60	59	62	57	64	66	60	57	64	69	65	59	65
	2202			Hard cheese - other uk or foreign equivalent		g	12	11	10	12	10	9	11	10	9	9	9	8	6
	2203			Hard cheese - edam or other foreign		g	5	4	5	7	5	5	7	5	5	7	5	6	7
	2205			Cottage cheese		g	5	4	5	4	5	6	6	4	2	5	3	4	4
	2206			Soft natural cheese		g	6	7	8	8	10	11	11	11	11	13	14	13	15
	2301		Processed cheese			g	10	12	13	13	11	12	13	13	10	11	13	11	11
	3102			Beef joints - on the bone		g	5	4	4	1	3	5	0	0	2	2	0	1	1
	3103			Beef joints - boned		g	31	29	38	36	31	33	29	23	23	19	19	18	18
	3104			Beef steak - less expensive		g	17	18	17	18	22	23	21	20	19	22	19	15	13
	3105			Beef steak - more expensive		g	23	24	23	28	23	22	22	19	14	20	16	15	15
	3106			Minced beef		g	45	46	45	44	47	45	52	43	46	47	53	44	39
	3107			All other beef and veal		g	2	0	0	1	1	0	0	1	1	0	1	1	1
	3601			Mutton		g	0	5	1	0	0	2	0	0	0	1	0	1	1
	3602			Lamb joints		g	38	33	44	32	27	29	57	27	40	28	21	21	16
	3603			Lamb chops		g	19	14	19	17	21	20	17	13	21	17	13	11	11
	3604			All other lamb		g	8	8	10	9	10	10	5	5	18	6	5	12	5
	4101			Pork joints		g	25	25	20	20	19	26	24	19	18	23	24	16	17
	4102			Pork chops		g	22	21	19	20	17	15	12	13	17	13	9	12	7
	4103			Pork fillets and steaks		g	14	17	12	13	13	11	13	11	12	16	15	17	18
	4104			All other pork		g	4	3	12	9	11	11	8	11	10	13	10	9	15
	4603			Ox liver		g	1	0	1	0	2	0	1	1	0	1	0	0	0
	4604			Lambs liver		g	4	3	3	3	2	2	2	3	3	3	3	2	2
	4605			Pigs liver		g	1	1	1	1	1	1	1	2	2	1	1	1	0
	4607			All other liver		g	1	0	1	1	0	0	1	0	1	1	2	2	2
	5101		All offal other than liver			g	4	5	5	1	4	2	4	3	1	3	3	2	3
	5502			Bacon and ham joints, uncooked		g	22	24	27	23	23	23	20	20	24	28	26	23	25
	5505			Bacon and ham rashers, uncooked		g	53	54	57	54	50	51	49	53	43	51	44	45	47
	5801		Bacon and ham, cooked			g	47	46	46	41	46	46	44	44	40	45	40	36	39
	5903			Chicken and turkey, cooked		g	39	38	38	36	43	37	41	41	31	36	35	25	30
	5904			Takeaway chicken		g	3	7	5	6	5	7	7	6	5	4	6	6	5
	6201		Corned beef, canned or sliced			g	16	15	19	16	15	15	15	14	13	15	9	9	8
	6601		Other cooked meat			g	11	12	12	12	14	15	14	14	15	13	15	14	13
	7102		Other canned meat and canned meat products			g	37	47	43	44	38	33	31	38	31	39	27	31	27
	7401		Chicken, uncooked - whole chicken or chicken pieces			g	170	162	163	155	175	175	158	191	173	161	166	186	183
	7703			Turkey, uncooked - whole turkey or turkey pieces		g	32	32	27	32	24	18	27	15	17	12	20	12	10
	7704			Poultry other than chicken or turkey, uncooked		g	2	4	3	5	3	2	4	7	5	4	2	2	2
	7801		Other fresh, chilled and frozen meat			g	1	3	1	1	0	1	2	1	1	5	0	1	4
	7901		Sausages, uncooked - pork			g	56	54	61	65	50	57	51	63	56	60	54	53	53
	8001		Sausages, uncooked - beef and other sausages			g	12	11	9	5	7	7	7	4	4	5	4	4	6
	8302			Meat pies, ready to eat		g	39	45	30	27	19	17	13	14	15	18	14	12	14
	8303			Sausage rolls, ready to eat		g	12	10	11	13	11	14	14	14	12	14	13	13	9
