_id,OA Code,Multiple Deprivation Measure Rank,Income Domain Score,Income Domain Rank,Employment Domain Score (18-59/64 years),Employment Domain Rank (18-59/64 years),Crime and Disorder Domain Rank,Proximity to Services Domain Rank,Travel time to a GP premises (minutes),Travel time to an Accident and Emergency hospital (minutes),Travel time to a dentist (minutes),Travel time to a pharmacist (minutes),Travel time to an optician (minutes),Travel time to Job Centre or Jobs & Benefits Off (mins),Travel time to a Post Office (minutes),Travel time to a supermarket / food store (minutes),Travel time to a large service centre (minutes),Travel time to a Council Leisure Centre or sports fac (mins),Travel time to financial services (minutes),Travel time to other general services (minutes),Population Estimate (NIMDM 2010)
1158,95GG150004,4782,0.09,4059,0.07,4124,4557,4424,0.75,2.68,0.86,0.67,0.75,4.16,0.75,0.46,4.5,1.3,0.48,0.86,285
1159,95GG150005,928,0.41,1057,0.24,530,3190,3968,1.47,1.37,0.75,1.37,1.47,5.58,0.59,0.75,5.02,1.36,0.56,1.14,290
1160,95GG150006,4650,0.12,3626,0.04,4820,2780,4311,1.07,2.91,0.47,0.67,1.07,4.04,1.07,0.19,4.27,1.46,0.75,0.94,255
1161,95GG150007,4589,0.15,3220,0.03,4881,2972,4051,1.24,3,0.17,0.64,1.24,4.22,1.24,0.47,4.33,1.41,1.22,1.01,350
1162,95GG150008,4987,0.02,4967,0.05,4612,4304,3039,1.6,3.64,1.05,1.6,2.25,3.81,1.66,1.06,3.67,2.22,1.06,1.69,315
1163,95GG150009,4994,0.03,4838,0.04,4687,4306,3304,1.4,3.35,0.58,1.21,1.79,3.88,1.79,0.8,3.89,1.99,1.46,1.42,295
1164,95GG150010,4950,0.04,4725,0.04,4734,2641,3548,1.58,3.15,0.46,0.94,1.58,4.38,1.58,0.92,4.36,1.57,1.07,1.32,300
1165,95GG150011,4957,0.05,4670,0.05,4640,3596,3123,2.19,3.85,1.51,1.03,2.63,4.15,1.03,0.88,3.83,2.37,0.87,1.64,315
1166,95GG150012,4928,0.02,4944,0.02,4969,1724,3981,1.44,1.45,1.08,1.44,1.44,5.51,0.8,0.46,6.06,1.45,0.22,1.17,275
1167,95GG150013,2288,0.3,1751,0.1,3119,3301,4222,1.06,1.73,1.35,1.06,1.06,5.15,1,0.16,5.69,1.38,0.16,1.05,270
1168,95GG150014,2246,0.28,1902,0.17,1327,4428,3934,1.61,1.28,0.9,1.28,1.61,5.85,0.39,0.87,6.35,1.28,0.27,1.11,260
1169,95GG150015,1307,0.35,1431,0.21,862,2961,4146,1.24,1.69,1.07,1.24,1.24,5.22,0.48,0.71,5.19,1.22,0.17,1.19,250
1170,95GG150016,5000,0.02,4914,0.04,4739,3799,4108,0.89,2.53,1.25,0.89,0.89,4.13,0.89,0.89,4.63,1.56,0.42,1.03,285
1171,95GG150017,4628,0.09,4134,0.05,4667,1896,4147,1.12,2.78,0.98,1.12,1.12,3.86,1.12,0.75,4.3,1.75,0.19,0.88,260
1172,95GG150018,4434,0.1,3884,0.04,4791,2371,4205,0.86,1.94,1.57,0.86,0.86,4.86,0.86,0.36,5.4,1.35,0.36,1.07,245
1173,95GG150019,4789,0.07,4358,0.02,4959,1544,4213,0.65,2.28,1.57,0.65,0.65,4.48,0.65,0.65,4.97,1.3,0.65,1.08,290
1174,95GG150020,5022,0,5009,0.01,4996,3883,4113,0.96,2.99,0.96,0.96,1.34,3.68,1.34,0.57,4.04,1.88,0.4,0.9,240
1175,95GG160001,3703,0.12,3681,0.06,4454,272,4157,0.47,4.23,0.24,0.8,1.09,5.27,1.09,0.8,2.67,2.12,0.8,0.67,320
1176,95GG160002,1050,0.35,1439,0.16,1575,216,4857,0.22,3.26,0.22,0.22,0.43,4.45,0.43,0.61,1.6,2.26,0.22,0.22,350
1177,95GG160003,2808,0.21,2517,0.1,3152,183,4265,0.7,4.74,0.41,0.41,1.43,4.97,1.43,0.41,3.16,2,0.41,0.63,295
1178,95GG160004,3023,0.18,2868,0.1,3033,1373,4056,0.49,4.7,0.73,0.96,1.1,4.79,1.1,0.96,3.05,1.67,0.64,0.76,390
1179,95GG160005,3905,0.11,3767,0.09,3532,1358,4059,0.71,4.9,0.62,0.62,1.41,4.76,1.41,0.62,3.28,1.78,0.62,0.77,335
1180,95GG160006,915,0.47,737,0.21,784,404,4292,0.2,4.21,0.47,0.72,0.72,5.12,0.72,1.1,2.58,1.92,0.72,0.56,355
1181,95GG160007,2389,0.19,2742,0.13,2160,738,4315,0.44,3.83,0.45,0.72,0.72,4.96,0.72,0.95,2.25,2.11,0.72,0.63,370
1182,95GG160008,941,0.47,748,0.2,903,800,4029,0.89,3.45,0.89,0.95,1.55,4.27,0.95,0.95,2.13,0.95,0.95,1.04,320
1183,95GG160009,687,0.55,462,0.22,780,901,3766,0.94,3.81,0.58,1.17,1.28,4.73,1.28,1.13,2.36,1.44,1.13,0.99,220
1184,95GG160010,1243,0.37,1300,0.18,1302,355,4662,0.42,3.41,0.42,0.42,0.62,4.6,0.62,0.52,1.81,2.1,0.42,0.42,390
1185,95GG160011,2322,0.23,2332,0.09,3368,409,4700,0.51,3.05,0.51,0.51,0.93,4.21,0.93,0.25,1.51,1.88,0.25,0.46,340
1186,95GG160012,1401,0.28,1863,0.15,1857,103,4722,0.41,3.03,0.41,0.15,0.7,4.11,0.7,0.66,1.37,2.33,0.41,0.21,295
1187,95GG160013,525,0.41,1100,0.29,234,334,4910,0.14,3.2,0.14,0.14,0.57,4.48,0.57,0.35,1.58,2.32,0.14,0.14,165
1188,95GG160014,277,0.58,380,0.28,292,111,4896,0.16,3.2,0.16,0.16,0.51,4.51,0.51,0.42,1.55,2.36,0.16,0.16,255
1189,95GG160015,1588,0.3,1739,0.13,2370,607,4520,0.67,2.72,0.67,0.33,1,3.74,1.03,0.74,1.07,2.04,0.67,0.4,345
1190,95GG160016,221,0.71,141,0.28,311,20,4801,0.42,2.88,0.42,0.42,0.92,4.13,0.92,0.15,1.3,2.13,0.15,0.37,325
1191,95GG170001,2252,0.19,2758,0.1,3230,429,3305,1.22,5.14,1.23,0.89,3.35,5.14,1.17,1.17,4.35,1.17,0.53,1.2,280
1192,95GG170002,2326,0.24,2201,0.14,2071,851,4636,0.17,3.73,0.17,0.42,2.02,4.41,0.42,0.42,2.57,0.42,0.42,0.95,415
1193,95GG170003,1881,0.28,1864,0.16,1617,1334,4538,0.41,2.77,0.41,0.48,1.32,3.45,0.92,0.48,1.77,0.92,0.92,0.83,405
1194,95GG170004,2064,0.29,1832,0.13,2145,1449,4283,0.66,3.92,0.66,0.65,1.89,4.17,0.65,0.65,3.13,0.65,0.65,1.05,360
1195,95GG170005,1404,0.41,1106,0.16,1705,1559,4395,0.48,3.38,0.48,0.76,1.39,3.86,0.77,0.76,2.54,0.77,0.77,0.82,405
1196,95GG170006,66,0.9,17,0.27,322,11,4564,0.51,2.79,1.34,0.45,0.51,3.33,0.8,0.45,1.97,1.89,0.51,0.73,365
1197,95GG170007,1872,0.27,1950,0.16,1551,197,4605,0.42,4.23,0.42,0.25,2.5,4.8,0.25,0.25,3.06,0.25,0.25,0.98,340
1198,95GG170008,561,0.51,619,0.21,870,1372,3047,1.66,4.92,1.46,1.39,3.04,4.68,1.44,1.44,4.38,1.22,0.29,1.5,290
1199,95GG170009,245,0.63,272,0.3,216,597,3478,1.23,4.75,1.52,0.95,2.86,4.33,0.95,0.95,4.4,1.28,0.38,1.46,235
1200,95GG170010,150,0.75,87,0.31,163,244,4260,0.74,4.49,1.07,0.43,1.67,4.04,0.43,0.43,3.87,2.27,0.43,0.84,220
1201,95GG170011,266,0.58,386,0.31,173,175,4567,0.5,3.02,1.27,0.5,0.5,3.34,0.73,0.5,2.29,1.82,0.46,0.68,220
1202,95GG170012,557,0.55,480,0.22,701,109,4621,0.94,2.3,0.96,0.14,0.94,3.01,1.28,0.14,1.46,1.46,0.63,0.77,360
1203,95GG170013,2036,0.27,1991,0.13,2244,695,3509,1.11,5.18,1.06,0.68,3.53,5.49,0.84,0.84,4.09,0.84,0.84,1.07,265
1204,95GG170014,2838,0.19,2748,0.11,2666,2392,4154,0.86,4.7,0.86,0.47,3,5.08,0.47,0.47,3.63,0.47,0.47,1.03,310
1205,95GG170015,1015,0.31,1712,0.23,566,1198,3945,0.97,4.57,0.97,0.69,2.7,4.76,0.69,0.69,3.71,0.69,0.69,1.01,305
1206,95GG170016,942,0.42,1018,0.19,1059,283,3790,1.09,4.4,1.09,0.92,2.41,4.43,0.92,0.92,3.71,0.92,0.57,1.16,310
1207,95GG180001,4026,0.04,4791,0,5014,4846,4950,0.6,0.47,0.18,0.6,0.88,0.66,0.97,0.47,1.67,0.18,0.42,0.61,105
1208,95GG180002,147,0.74,96,0.29,260,239,4985,0.32,1.02,0.32,0.56,0.56,1.88,0.43,0.14,2.79,1.03,0.14,0.56,275
1209,95GG180003,164,0.6,334,0.32,148,895,4871,0.49,1.24,0.49,0.76,0.76,2.13,0.58,0.23,3,1.26,0.23,0.68,275
1210,95GG180004,553,0.47,762,0.24,549,656,5013,0.1,0.78,0.1,0.27,0.27,1.75,0.63,0.32,2.78,0.96,0.18,0.39,290
1211,95GG180005,229,0.61,313,0.3,205,716,5004,0.39,0.52,0.39,0.39,0.39,1.29,0.5,0.5,2.29,0.46,0.16,0.5,355
1212,95GG180006,1761,0.25,2157,0.14,1922,2654,4986,0.18,0.9,0.18,0.42,0.42,1.94,0.73,0.34,2.97,1.13,0.08,0.44,305
1213,95GG180007,15,0.96,10,0.49,7,75,5014,0.15,0.52,0.15,0.15,0.15,1.54,0.75,0.52,2.64,0.82,0.15,0.35,335
1214,95GG180008,540,0.54,502,0.2,910,725,4926,0.33,0.85,0.33,0.56,0.56,2.1,0.82,0.4,3.12,1,0.15,0.48,285
1215,95GG180009,88,0.69,162,0.33,126,230,3828,0.61,2.24,2.04,1.29,1.95,2.73,1.29,1.08,3.56,1.59,0.54,0.91,420
1216,95GG180010,105,0.72,124,0.3,197,93,4387,1.15,1.68,1.49,1.21,1.57,2.19,0.79,0.77,3.1,1.49,0.13,0.54,275
1217,95GG180011,24,0.87,30,0.48,10,349,4949,0.63,1.02,0.63,0.75,0.75,1.63,0.19,0.19,2.4,0.78,0.19,0.74,455
1218,95GG180012,1170,0.36,1385,0.23,627,2292,4703,1.32,1.05,0.62,0.97,0.97,1.53,0.53,0.53,2.32,0.62,0.53,0.69,275
1219,95GG180013,38,0.99,4,0.36,76,268,4923,0.72,0.53,0.19,0.72,0.82,0.81,0.78,0.53,1.73,0.19,0.46,0.69,445
1220,95GG180014,508,0.59,371,0.22,675,1206,4766,0.67,1.33,0.67,0.9,0.9,2.1,0.45,0.34,2.87,1.24,0.34,0.73,290
1221,95GG190001,39,0.77,73,0.39,50,1243,4939,0.89,2.11,0.24,0.24,0.23,0.24,0.63,0.92,1.23,1.23,0.23,0.4,255
1222,95GG190002,334,0.45,849,0.23,580,638,4820,0.15,2.01,1.22,0.46,0.56,1.22,1.02,0.47,1.72,1.28,0.47,0.45,285
1223,95GG190003,268,0.61,307,0.23,603,690,4885,0.87,2.32,0.84,0.79,0.27,0.84,0.79,0.64,1.82,0.81,0.19,0.24,320
1224,95GG190004,213,0.6,327,0.24,509,548,5021,0.49,1.46,0.35,0.13,0.8,0.35,0.13,0.6,0.49,0.49,0.13,0.44,185
1225,95GG190005,127,0.67,194,0.36,74,2434,5017,0.83,1.77,0.13,0.13,0.49,0.13,0.35,0.6,0.83,0.83,0.13,0.41,215
1226,95GG190006,366,0.49,671,0.25,442,1865,4860,0.59,2.5,0.89,0.86,0.39,0.89,0.94,0.41,1.76,0.86,0.38,0.32,170
1227,95GG190007,96,0.64,250,0.28,286,245,4612,0.98,1.3,0.58,0.49,0.49,2.13,1.01,0.98,1.64,2.01,0.49,0.59,245
1228,95GG190008,9,0.88,25,0.46,14,120,4799,0.56,1.67,1.12,0.24,0.24,1.75,0.76,0.88,1.92,1.78,0.24,0.43,295
1229,95GG190009,43,0.68,172,0.37,64,90,4588,0.89,1.06,0.8,0.5,0.5,1.78,1.21,1.06,1.61,1.61,0.5,0.65,270
1230,95GG190010,438,0.44,918,0.28,298,1879,4772,0.36,1.7,0.93,0.25,0.68,0.93,0.88,0.74,1.29,1.29,0.68,0.62,255
1231,95GG190011,185,0.72,127,0.22,770,1815,4855,0.72,1.24,0.61,0.45,1,0.61,0.45,1.04,0.72,0.72,0.45,0.72,260
1232,95GG190012,40,0.78,68,0.37,63,201,4746,0.46,1.46,1.18,0.15,0.51,1.18,1.05,0.91,1.32,1.32,0.51,0.57,220
1233,95GG190013,202,0.7,152,0.28,271,1594,4852,0.3,2.15,0.91,0.59,0.58,0.91,1.06,0.42,1.59,1.13,0.42,0.49,245
1234,95GG190014,11,0.81,54,0.47,13,1531,4767,0.47,2.57,1.16,0.82,0.79,1.34,1.02,0.28,2.1,0.82,0.28,0.54,255
1235,95GG190015,45,0.7,149,0.44,24,1094,4893,0.96,2.4,1.01,0.6,0.46,1.07,0.6,0.6,2.06,0.62,0.18,0.26,195
1236,95GG190016,1231,0.31,1699,0.11,2748,3404,4886,0.53,2.1,0.59,0.59,0.39,0.59,0.78,0.64,1.34,1.23,0.39,0.49,285
1237,95GG190017,200,0.63,262,0.23,583,1179,4990,0.72,1.5,0.31,0.26,0.7,0.31,0.26,0.8,0.72,0.72,0.26,0.5,190
1238,95GG190018,217,0.59,356,0.32,137,1502,4915,0.88,2.16,0.51,0.51,0.13,0.51,0.91,0.79,1.51,1.08,0.13,0.34,220
1239,95GG200001,36,0.89,19,0.39,47,441,4778,0.34,1.46,0.84,0.34,1.32,1.74,0.89,0.61,0.84,1.15,0.53,0.62,235
1240,95GG200002,162,0.54,498,0.33,129,804,4667,0.45,1.8,0.85,0.45,1.11,1.24,1.11,1.11,1.53,0.8,0.3,0.7,205
1241,95GG200003,35,0.76,84,0.45,18,247,4489,0.82,1.97,0.93,0.82,0.66,0.81,0.81,0.81,2.24,1.85,0.81,0.78,385
1242,95GG200004,52,0.71,138,0.31,170,226,4960,0.14,1.64,0.53,0.14,0.69,0.82,0.69,0.69,1.81,1.19,0.14,0.54,275
1243,95GG200005,134,0.77,71,0.24,496,1267,4817,0.33,1.6,0.64,0.33,0.92,1.15,0.92,0.92,1.49,1.01,0.33,0.63,235
1244,95GG200006,75,0.73,110,0.28,269,1382,2795,1.12,3.19,1.46,1.12,2.43,2.3,2.3,1.83,2.99,1.12,1.83,1.67,305
1245,95GG200007,889,0.32,1615,0.17,1506,1042,4150,0.93,2.71,0.83,0.93,1.89,2.27,1.89,0.55,2.29,0.93,0.88,0.76,225
1246,95GG200008,599,0.49,702,0.25,441,470,4207,1.02,2.82,1.02,0.5,1.23,3.51,1.23,0.84,1.24,1.63,1.02,0.65,335
1247,95GG200009,1041,0.37,1311,0.15,1729,1148,4201,0.52,2.41,1.41,0.52,1.86,1.85,1.85,1.07,2.08,0.52,0.85,0.58,205
1248,95GG200010,309,0.55,477,0.31,167,128,4179,1.1,2.5,1.1,0.25,1.34,2.93,1.72,0.64,1.1,1.1,1.17,0.94,270
1249,95GG200011,663,0.46,780,0.12,2522,444,4384,0.48,2.52,1.21,0.48,1.88,1.85,1.85,0.88,1.79,0.48,0.53,0.61,260
1250,95GG200012,1581,0.2,2586,0.11,2865,1954,4370,0.71,2.28,1.15,0.43,1.51,2.44,1.68,0.74,1.15,0.71,0.66,0.91,255
1251,95GG200013,517,0.42,1021,0.28,272,978,4526,0.52,2.05,1.3,0.52,1.6,1.75,1.5,0.96,1.3,0.52,0.24,0.75,205
1252,95GG200014,850,0.42,1046,0.15,1755,567,4602,0.63,1.82,0.99,0.63,1.43,1.84,1.25,0.69,0.99,0.82,0.46,0.75,200
1253,95GG200015,274,0.53,517,0.21,810,1505,4553,0.53,2,1.14,0.53,1.41,1.52,1.41,1.17,1.46,0.53,0.15,0.75,255
1254,95GG200016,71,0.8,58,0.35,99,524,4908,0.21,1.28,0.65,0.21,1.02,1.44,0.78,0.54,1.12,1.25,0.45,0.55,210
1255,95GG210001,138,0.74,100,0.26,398,816,4562,0.98,1.17,0.7,0.91,0.91,0.7,0.91,0.91,1.67,1.33,0.7,0.75,305
1256,95GG210002,189,0.53,511,0.28,273,9,4902,1.02,2.03,1.29,0.33,0.33,1.19,0.33,0.33,1.19,1.56,0.33,0.46,285
1257,95GG210003,44,0.74,92,0.42,31,1060,4795,1.13,1.43,0.58,0.73,0.73,0.58,0.73,0.58,1.13,1.13,0.58,0.56,435
1258,95GG210004,23,0.89,20,0.32,138,96,4864,0.92,0.96,0.23,0.92,1.1,0.23,1.22,0.64,1.2,0.81,0.23,0.45,300
1259,95GG210005,186,0.57,402,0.28,281,1158,4816,1.36,1.54,0.86,0.5,0.5,0.86,0.5,0.5,1.48,1.48,0.5,0.5,410
1260,95GG210006,81,0.71,130,0.28,319,140,4711,0.96,1.1,0.42,0.96,0.97,0.42,0.97,0.87,1.4,1.14,0.42,0.6,360
1261,95GG210007,291,0.56,457,0.24,532,591,4997,0.27,0.26,0.52,0.27,0.52,0.96,1.02,0.26,2.05,0.53,0.26,0.59,355
1262,95GG210008,29,0.86,31,0.39,46,149,4912,0.54,0.59,0.39,0.54,1.17,0.39,1.42,0.59,1.57,0.6,0.15,0.5,355
1263,95GG210009,51,0.7,155,0.31,165,136,4697,0.63,0.84,0.62,0.63,1.25,0.62,1.25,0.78,1.73,1.01,0.45,0.69,395
1264,95GG210010,47,0.7,145,0.39,56,1652,4916,0.28,0.42,0.64,0.28,1.01,0.66,1.43,0.42,1.86,0.68,0.29,0.63,320
1265,95GG210011,108,0.6,329,0.35,92,38,4613,0.54,0.94,0.54,0.68,1.42,1.03,1.37,0.54,2.04,1.27,0.8,0.64,245
1266,95GG210012,87,0.73,107,0.34,104,476,4984,0.13,0.27,0.45,0.13,0.75,0.92,1.29,0.27,2.06,0.72,0.27,0.53,290
1267,95GG210013,154,0.62,289,0.28,313,847,4876,0.26,0.26,0.52,0.52,0.48,2.44,0.96,0.52,3.64,0.78,0.48,0.35,255
1268,95GG210014,13,0.76,80,0.42,30,186,4909,0.21,0.67,0.21,0.45,0.99,1.26,1.03,0.21,2.42,1.16,0.67,0.48,260
1269,95GG210015,57,0.81,56,0.35,94,742,4774,0.27,0.91,0.27,0.67,1.26,1.34,0.93,0.27,2.35,1.37,0.91,0.5,350
1270,95GG220001,2562,0.31,1671,0.12,2400,2166,4751,0.9,3.97,0.91,0.91,0.9,0.9,0.9,0.51,0.18,0.91,0.18,0.51,245
1271,95GG220002,1665,0.28,1847,0.17,1405,874,4661,0.47,3.51,1.45,1.45,0.47,0.47,0.47,0.47,0.9,1.74,0.47,0.47,275
1272,95GG220003,834,0.42,1052,0.18,1189,50,4881,0.74,4.01,1.07,0.71,0.74,0.74,0.74,0.2,0.51,1.07,0.3,0.2,265
1273,95GG220004,2163,0.24,2202,0.13,2208,570,4469,1.74,3.89,0.81,0.85,0.68,1.74,0.85,0.65,0.46,1.09,0.65,0.75,335
1274,95GG220005,470,0.57,405,0.25,461,861,4423,1.09,1.43,0.71,0.87,1.09,2.76,0.8,0.8,2.8,1.24,0.8,0.63,320
1275,95GG220006,1676,0.27,1958,0.13,2234,1942,4739,0.5,1.64,0.26,0.5,1.17,2.64,0.69,0.69,2.02,1.1,0.5,0.59,255
1276,95GG220007,146,0.76,81,0.31,161,857,4293,2.12,5.27,0.79,0.79,1.14,2.12,0.79,0.56,1.14,1.27,0.54,0.82,365
1277,95GG220008,1777,0.28,1869,0.15,1719,981,4573,1.76,5.13,0.4,0.4,0.84,1.76,0.4,0.69,1.05,1.53,0.4,0.72,320
1278,95GG220009,1591,0.3,1742,0.18,1172,1295,4721,1.83,4.56,0.53,0.53,0.76,1.83,0.53,0.26,0.55,1.08,0.26,0.66,355
1503,95GG350017,2,0.99,3,0.44,23,43,4965,0.36,1.03,0.36,0.36,0.36,1.14,0.43,0.43,1.76,1.76,0.36,0.55,330
1279,95GG220010,2023,0.29,1787,0.15,1822,142,4350,1.64,3.08,0.35,1.07,0.45,1.64,1.07,1.45,0.81,1.95,0.45,0.48,220
1280,95GG220011,1286,0.31,1717,0.22,737,1362,4815,1.58,4.5,0.31,0.31,0.52,1.58,0.31,0.55,0.56,1.34,0.31,0.55,335
1281,95GG220012,1770,0.33,1535,0.18,1219,1136,4848,1.27,3.27,0.45,0.5,0.14,1.27,0.5,0.97,0.68,1.58,0.14,0.33,350
1282,95GG220013,2134,0.18,2782,0.15,1834,236,4835,1.45,4.76,0.17,0.17,0.5,1.45,0.17,0.78,0.85,1.62,0.17,0.51,305
1283,95GG220014,2158,0.22,2399,0.18,1284,2368,4692,1.26,3.6,0.39,0.39,0.48,1.26,0.39,1.05,0.9,1.58,0.39,0.63,305
1284,95GG220015,1093,0.37,1304,0.24,491,2139,4669,0.95,3.47,0.63,0.63,0.42,0.95,0.63,0.95,0.83,1.65,0.42,0.63,360
1285,95GG220016,2388,0.23,2366,0.14,2038,910,4557,1.32,3.83,0.57,0.57,0.82,1.32,0.57,1.22,0.72,1.26,0.34,0.77,370
1286,95GG220017,1933,0.33,1563,0.16,1627,2150,4586,0.91,3.7,0.77,0.77,0.76,0.91,0.77,0.91,0.49,1.29,0.49,0.81,265
1287,95GG230001,3867,0.18,2845,0.07,4129,903,3733,0.77,6.6,0.95,0.22,0.95,5.79,2.31,0.22,5.96,2.86,0.22,0.89,430
1288,95GG230002,4857,0.09,4014,0.04,4697,3571,3949,1.07,6.33,0.8,0.69,0.8,3.89,1.48,0.42,4.5,2.85,0.42,0.76,355
1289,95GG230003,4846,0.03,4844,0.07,3965,4582,3630,0.87,6.71,1.07,1.07,1.07,4.19,1.95,0.33,5.03,3.2,0.33,0.81,345
1290,95GG230004,3308,0.24,2237,0.08,3751,712,4043,0.66,6.57,0.76,0.76,0.76,4.39,1.81,0.13,5.02,3.01,0.13,0.67,150
1291,95GG230005,4275,0.17,2930,0.07,3959,2572,4044,0.51,6.49,0.52,0.52,0.52,4.69,1.79,0.33,5.14,2.87,0.33,0.74,260
1292,95GG230006,4464,0.04,4747,0.09,3524,1396,3440,0.79,7.29,1.12,1.48,1.12,5.02,1.48,0.4,6,2.83,0.4,0.97,360
1293,95GG230007,4531,0.09,4005,0.07,3988,3507,3419,0.32,6.86,0.95,0.77,0.95,5.23,2,0.66,5.78,3.19,0.66,0.98,290
1294,95GG230008,3977,0.08,4164,0.11,2969,4056,3627,0.49,6.82,1.03,0.35,1.03,5.72,2.21,0.28,6.08,3.1,0.28,0.96,260
1295,95GG230009,4263,0.09,4029,0.07,4107,3136,3713,0.74,6.7,1.04,0.13,1.04,5.87,2.42,0.14,6.09,2.96,0.14,0.91,275
1296,95GG230010,4635,0.04,4805,0.04,4692,1376,2004,1.61,9.72,2.06,1.48,2.06,6.86,2.17,1.38,7.3,2.83,1.38,1.66,340
1297,95GG230011,4550,0.09,4051,0.07,4162,3170,3189,0.98,6.93,1.42,0.48,1.42,6.33,2.38,0.38,6.57,3.18,0.38,1.07,250
1298,95GG230012,4869,0.03,4849,0.04,4767,3193,2383,1.31,9.22,1.86,1.07,1.86,6.47,2.33,0.97,6.79,3.16,0.97,1.41,320
1299,95GG230013,4063,0.15,3211,0.05,4491,3777,2925,0.74,7.33,1.6,0.93,1.6,6.14,1.79,0.81,6.72,2.86,0.81,1.16,250
1300,95GG230014,4574,0.05,4624,0.05,4628,1252,2490,1.33,8.82,1.71,0.89,1.71,6.4,2.59,0.82,6.55,3.56,0.82,1.37,315
1301,95GG230015,3967,0.09,4128,0.1,3106,3248,3035,0.9,7.16,1.55,0.69,1.55,6.35,2.11,0.56,6.74,3.13,0.56,1.12,265
1302,95GG240001,4210,0.07,4429,0.09,3417,1722,4745,0.51,3.7,0.2,0.2,0.2,4.92,0.2,0.92,2.03,2,0.2,0.43,335
1303,95GG240002,1518,0.37,1335,0.16,1676,198,4118,1.54,3.37,0.28,1.54,2,2.87,2,0.19,2.54,1.54,0.19,0.86,240
1304,95GG240003,3268,0.15,3195,0.1,3245,890,3953,1.81,3.45,0.59,1.08,1.4,2.97,1.4,0.59,2.38,1.87,0.79,1.07,385
1305,95GG240004,4327,0.03,4831,0.07,4121,2105,4134,1.48,3.16,0.6,1.09,1.09,2.98,1.09,0.6,2.53,1.68,0.87,0.9,325
1306,95GG240005,1673,0.31,1691,0.22,709,928,4578,0.64,3.57,0.42,0.42,0.42,4.56,0.42,1.04,1.9,2.01,0.42,0.44,305
1307,95GG240006,1549,0.3,1764,0.22,774,936,4228,1.53,3.26,0.16,1.53,1.7,2.86,1.7,0.16,2.55,1.53,0.28,0.85,200
1308,95GG240007,1710,0.23,2288,0.18,1197,1680,4244,1.25,2.94,0.42,1.25,1.58,2.58,1.58,0.4,2.49,1.25,0.58,0.78,240
1309,95GG240008,2244,0.2,2576,0.14,1983,1623,4243,1.41,2.95,0.49,1.21,1.25,2.72,1.25,0.49,2.44,1.41,0.75,0.76,235
1310,95GG240009,1551,0.36,1362,0.13,2237,1573,4220,1.29,3.13,0.43,1.29,2,2.62,2,0.11,2.7,1.29,0.35,0.75,235
1311,95GG240010,2207,0.2,2661,0.17,1408,2695,4199,1.1,2.73,0.69,1.1,1.52,2.42,1.52,0.6,2.2,1.1,0.84,0.76,265
1312,95GG240011,2434,0.24,2208,0.13,2345,793,4186,0.99,3.57,0.84,0.72,0.84,4.3,0.84,0.96,1.93,2,0.84,0.61,300
1313,95GG240012,640,0.45,838,0.23,587,18,4337,0.78,3.28,0.78,0.44,0.8,4.09,0.8,1.1,1.64,2.13,0.78,0.44,235
1314,95GG240013,2744,0.15,3294,0.11,2951,1853,4153,1.05,2.55,0.92,0.9,1.39,2.33,1.39,0.87,1.93,1.05,1.1,0.76,355
1315,95GG240014,3665,0.13,3493,0.07,4011,799,3707,1.32,3.83,1.33,0.9,1.43,2.73,1.43,1.55,2.14,1.68,0.64,1.06,420
1316,95GG240015,4291,0.06,4498,0.05,4607,614,3978,0.94,4.69,0.65,1.13,1.19,5.25,1.19,1.13,2.6,1.51,0.23,0.99,330
1317,95GG240016,3332,0.2,2629,0.06,4233,407,4262,0.61,4.25,0.54,0.54,0.54,4.97,0.54,1.44,2.57,1.65,0.54,0.73,275
1318,95GG250001,437,0.52,566,0.3,188,864,4482,0.88,4.8,0.8,0.8,0.88,0.56,0.88,0.8,1.45,0.8,0.8,0.66,205
1319,95GG250002,419,0.58,382,0.21,821,23,4035,2.01,5.64,0.81,0.81,1.19,1.77,0.81,0.97,1.45,1.64,0.7,1.01,340
1398,95GG290014,2202,0.25,2158,0.11,2708,960,4901,0.21,6.68,0.51,0.21,0.21,0.69,0.97,0.21,1.3,0.77,0.21,0.61,315
1320,95GG250003,2640,0.17,2946,0.15,1802,1200,3938,1.53,6.1,1.1,1.1,1.38,1.27,1.1,1.21,1.26,1.21,0.53,1.03,310
1321,95GG250004,876,0.43,980,0.25,478,2840,3942,1.41,6.99,1.37,1.37,1.41,0.84,1.3,0.47,1.78,1.37,0.47,1.19,290
1322,95GG250005,1036,0.35,1427,0.23,596,1612,3924,1.35,6.43,1.12,1.12,1.35,1.01,1.35,1.02,1.35,1.12,0.72,0.96,500
1323,95GG250006,1794,0.32,1586,0.15,1732,651,4473,1.64,4.02,0.64,0.64,1.09,1.64,0.64,1.19,0.92,1.19,0.16,0.8,235
1324,95GG250007,1142,0.41,1123,0.22,697,1870,4177,1.12,6.71,0.99,0.99,1.12,0.71,1.12,0.77,1.39,0.99,0.77,0.85,420
1325,95GG250008,159,0.71,136,0.4,41,351,4343,1.31,5.91,0.91,0.91,1.2,1.22,1.02,0.91,0.9,0.91,0.27,0.81,305
1326,95GG250009,1191,0.38,1266,0.19,1050,2828,4285,1.36,7.43,1.25,1.36,1.36,0.69,0.63,0.13,2.02,1.47,0.13,1.09,330
