Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Number
Department of Health,Portsmouth Hospitals Trust,10-Aug-10,SYS Inventory,Balance Sheet,JANSSEN CILAG LTD,11334752,53789.97,91622397
Department of Health,Portsmouth Hospitals Trust,31-Aug-10,SYS Inventory,Balance Sheet,JANSSEN CILAG LTD,11437773,35831.86,91629355
Department of Health,Portsmouth Hospitals Trust,23-Aug-10,SYS Inventory,Balance Sheet,MARTINDALE PHARMACEUTICALS,11429845,26814.23,3393031
Department of Health,Portsmouth Hospitals Trust,23-Aug-10,SYS Inventory,Balance Sheet,NOVARTIS PHARMACEUTICALS UK LTD,11421268,68250.65,90688962
Department of Health,Portsmouth Hospitals Trust,27-Aug-10,SYS Inventory,Balance Sheet,NOVARTIS PHARMACEUTICALS UK LTD,11509599,90894.88,90582024
Department of Health,Portsmouth Hospitals Trust,13-Aug-10,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,11421229,29241.29,64679299
Department of Health,Portsmouth Hospitals Trust,04-Aug-10,SYS Inventory,Balance Sheet,RATIOPHARM UK LTD,11273457,27529.37,5430023579
Department of Health,Portsmouth Hospitals Trust,03-Aug-10,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,11273433,57861.52,1321253957
Department of Health,Portsmouth Hospitals Trust,23-Aug-10,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,11402284,192978.77,1321261753
Department of Health,Portsmouth Hospitals Trust,23-Aug-10,SYS Inventory,Balance Sheet,TEVA UK LTD,10893449,-62989.74,2318037335
Department of Health,Portsmouth Hospitals Trust,23-Aug-10,SYS Inventory,Balance Sheet,TEVA UK LTD,10893451,-55229.28,2318037336
Department of Health,Portsmouth Hospitals Trust,23-Aug-10,SYS Inventory,Balance Sheet,TEVA UK LTD,11334736,28808.12,2310167032
Department of Health,Portsmouth Hospitals Trust,13-Aug-10,Services Received - NHSTs,IOW DIALYSIS,ISLE OF WIGHT PCT,11400223,29745.34,18559347
Department of Health,Portsmouth Hospitals Trust,02-Aug-10,Services Received - PCTs,COMMUNITY HOSPITALS,PORTSMOUTH CITY TEACHING PCT,11257894,65532.45,9576645
Department of Health,Portsmouth Hospitals Trust,13-Aug-10,Services Received - PCTs,COMMUNITY HOSPITALS,PORTSMOUTH CITY TEACHING PCT,11258001,118605,9576673
Department of Health,Portsmouth Hospitals Trust,13-Aug-10,Services Received - PCTs,COMMUNITY HOSPITALS,PORTSMOUTH CITY TEACHING PCT,11428337,118605,9576675
Department of Health,Portsmouth Hospitals Trust,02-Aug-10,Services Received - PCTs,PHCT/PHT RECHARGES,PORTSMOUTH CITY TEACHING PCT,11324331,50457,9576623
Department of Health,Portsmouth Hospitals Trust,06-Aug-10,SrvcsRecd-Other NHS,SBS,NHS SHARED BUSINESS SERVICES LTD,11258000,67432.23,100001276
Department of Health,Portsmouth Hospitals Trust,13-Aug-10,X-Ray Equip Maint/Repair,RADIOTHERAPY,VARIAN LTD,11419168,44747.53,602087874
