Department for International Development,,,,,,, Accounts 2011-12
,,,,,,,
16.    Trade receivables and other current assets,,,,,,,
,,,,,Bilateral and multilateral loans ,Other loans,Total
Repayments included above,,,,," (251,140)"," (1,176)"," (252,316)"
Repayments included in non-operating income,,,,," (251,140)"," (1,176)"," (252,316)"
Principal repayments accrued 2010-11,,,,,"19,157 ", -   ,"19,157 "
Principal repayments accrued 2009-10,,,,,"18,194 ", -   ,"18,194 "
Principal repayments accrued 2008-09,,,,,"22,178 ", -   ,"22,178 "
Total,,,,," (191,611)"," (1,176)"," (192,787)"
Included in statement of cashflows - Note 22.4,,,,," (231,983)"," (1,176)"," (233,159)"
Department for International Development,,,,,,, Accounts 2011-12
,,,,,,,
16.    Trade receivables and other current assets (continued),,,,,,,
,,,,,,,
16.1  Analysis by type,,,,,,,
,,,31 March 2012,31 March 2011,,,
,,,£000,£000,,,
,,,,,,,
Loans repayable within one year,,,"12,168 ","16,752 ",,,
Deposits and advances ,,,"11,738 ","7,257 ",,,
Prepayments and accrued income*,,,"37,985 ","116,259 ",,,
Amounts due from the Consolidated Fund in respect of supply,,,"9,877 ","16,001 ",,,
Other amounts due from Consolidated Fund,,, -   ,"1,075 ",,,
,,,,,,,
Total,,,"71,768 ","157,344 ",,,
,,,,,,,
"* Of which £4,654,281 relates to principal repayments on loans accrued ( 2010-11 £59,529,171; 2009-10 £40,264,164)",,,,,,,
,,,,,,,
,,,,,,,
16.2  Intra-Government balances,,,,,,,
,,,Amounts falling due within one year ,,Amounts falling due after more than one year,,
,,,31 March 2012,31 March 2011,31 March 2012,31 March 2011,
,,,£000,£000,£000,£000,
Balances with other central government bodies,,,"11,031","21,708", -   , -   ,
Balances with local authorities,,, -   , -   , -   , -   ,
Balances with NHS Trusts,,, -   , -   , -   , -   ,
Balances with public corporations and trading funds,,, -   , -   , -   , -   ,
Subtotal: intra-government balances,,,"11,031","21,708", -   , -   ,
Balances with bodies external to government ,,,"60,737","135,636","79,703","111,419",
Total receivable at 31 March,,,"71,768","157,344","79,703","111,419",
,,,,,,,
,,,,,,,
The above relates to assets held by DFID.  CSC and ICAI do not hold any assets.,,,,,,,
,,,,,,,
Department for International Development,,,,,,, Accounts 2011-12
,,,,,,,
17.     Cash and cash equivalents,,,,,,,
,,,2011-12,,2010-11,,
,,,,£000,,£000,
,,,DFID,Departmental group,DFID,Departmental group,
Balance at 1 April ,,," (17,076)"," (17,076)"," (26,467)"," (26,467)",
Net change in cash and cash equivalent balances,,,"14,047 ","15,579 ","9,391 ","9,391 ",
Balance at 31 March,,," (3,029)"," (1,497)"," (17,076)"," (17,076)",
,,,,,,,
,,,,,,,
The following balances at 31 March were held at: ,,,,,,,
Government Banking Service - Core Department,,," (5,909)"," (5,909)"," (20,681)"," (20,681)",
Government Banking Service - NDPB,,, -   ,"1,532 ", -   , -   ,
Commercial banks,,,"2,880 ","2,880 ","3,605 ","3,605 ",
Balance at 31 March,,," (3,029)"," (1,497)"," (17,076)"," (17,076)",
,,,,,,,
,,,,,,,
Made up of:,,,,,,,
Bank Overdraft,,," (5,909)"," (5,909)"," (20,681)"," (20,681)",
Cash and Cash Equivalents,,,"2,880 ","4,412 ","3,605 ","3,605 ",
,,," (3,029)"," (1,497)"," (17,076)"," (17,076)",
,,,,,,,
,,,,,,,
"Cash balances at Government Banking Service were held in sterling.  No interest is earned on cash balances held at Government Banking Service.  Imprest balances are held in a variety of local currencies, none individually greater than £607,258 (2010-11 £834,388).  Interest is earned on imprest balances, but is not a material amount - total interest earned on bank balances was £11,214 (2010-11 £34,582).",,,,,,,
