Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,OTHER ADMIN & CLERICAL,EMERGENCY CARE - PILGRIM,LINCOLNSHIRE TEACHING PCT,"8,110.92",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,OTHER ANCILLARY,FACILITIES / ESTATES,LINCOLNSHIRE TEACHING PCT,"5,559.51",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,OTHER NURSING,EMERGENCY CARE - PILGRIM,LINCOLNSHIRE TEACHING PCT,"14,147.49",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,PREMISES RENT OTHER NHS BODIES,FACILITIES / ESTATES,LINCOLNSHIRE TEACHING PCT,"1,255.33",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,COMPUTER SOFTWARE,CAPITAL PROGRAM,INTERSYSTEMS,"43,365.60",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,OCCUPANCY GUARANTEE,FACILITIES / ESTATES,PROGRESS CARE HOUSING ASSOCIATION LTD,"26,776.26",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,STRUCTURE,CAPITAL PROGRAM,PHARMASHEL VE LTD,"39,057.36",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,TELEPHONES,INFORMATION TECHNOLOGY,BT PLC,"39,643.12",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,OTHER CONSULTANCIES,DIRECTOR OF FINANCE,SHERWOOD FOREST HOSPITALS NHS TRUST,"54,300.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,XRAY MAINTENANCE,DIAGNOSTICS PAN TRUST,NHS SUPPLY CHAIN (MAIDSTONE),"73,781.66",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,EQUIPMENT >#5K,CAPITAL PROGRAM,SIEMENS PLC,"753,156.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,PATHOLOGY SERVICES,DIAGNOSTICS PAN TRUST,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"69,122.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,PATHOLOGY SERVICES,DIAGNOSTICS PAN TRUST,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"102,138.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,EQUIPMENT >#5K,CAPITAL PROGRAM,R J URMSON COMMISSIONING ENGINEERS LTD,"80,820.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"272,835.27",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,STRUCTURE,CAPITAL PROGRAM,INTERSERVE PROJECT SERVICES LTD,"78,000.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,STRUCTURE,CAPITAL PROGRAM,INTERSERVE PROJECT SERVICES LTD,"207,600.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,EQUIPMENT >#5K,CAPITAL PROGRAM,PHILIPS HEALTHCARE,"456,000.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,EQUIPMENT >#5K,CAPITAL PROGRAM,HILTONS ELECTRICAL SERVICES LIMITED,"35,640.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,EQUIPMENT >#5K,CAPITAL PROGRAM,HILTONS ELECTRICAL SERVICES LIMITED,"56,292.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/04/2011,ENGIN & MAINT DAY TO DAY,FACILITIES / ESTATES,SILVERDELL (UK) LTD,"26,706.88",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,ENGIN & MAINT DAY TO DAY,FACILITIES / ESTATES,R J COLEMAN ELECTRICAL,"110,616.25",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,EQUIPMENT >#5K,CAPITAL PROGRAM,SIEMENS PLC,"32,188.80",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,PHOTOCOPIER MACHINES,INFORMATION TECHNOLOGY,THE DANWOOD GROUP LTD,"50,408.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/04/2011,COURSE FEES,DIRECTOR OF HR,MOUCHEL BUSINESS SERVICES,"46,800.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/04/2011,RATES,DIR OF FACILITIES / ESTATE,BOSTON BOROUGH COUNCIL - BUSINESS RATES,"532,590.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/04/2011,RATES,FACILITIES / ESTATES,SOUTH KESTEVEN DISTRICT COUNCIL,"296,605.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/04/2011,RATES,DIR OF FACILITIES / ESTATE,EAST LINDSEY DISTRICT COUNCIL,"106,951.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,COMPUTER HARDWARE,CAPITAL PROGRAM,TRACLINE UK LTD,"41,479.30",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,HIRE OF CLINICAL EQUIPMENT,PLANNED CARE - PILGRIM,HUNTLEIGH HEALTHCARE,"37,445.75",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,EQUIPMENT >#5K,CAPITAL PROGRAM,LANCER UK LIMITED,"73,050.60",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,EQUIPMENT >#5K,CAPITAL PROGRAM,LANCER UK LIMITED,"302,015.21",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,SW SUPPORT,DIAGNOSTICS PAN TRUST,HEALTHCARE SOFTWARE SYSTEMS LIMITED,"51,810.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,HAEMOPHILLIA BLOOD PRODUCTS,DIAGNOSTICS PAN TRUST,HEALTHCARE AT HOME,"96,396.20",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,OTHER ADMIN & CLERICAL,FACILITIES / ESTATES,LINCOLNSHIRE TEACHING PCT,"14,021.63",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,OTHER ANCILLARY,FACILITIES / ESTATES,LINCOLNSHIRE TEACHING PCT,"66,140.98",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,OTHER SENIOR MANAGER,FACILITIES / ESTATES,LINCOLNSHIRE TEACHING PCT,"4,853.59",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,TELEPHONES,FACILITIES / ESTATES,LINCOLNSHIRE TEACHING PCT,79.48,Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,TRAVEL AND SUBSISTENCE EXPS,FACILITIES / ESTATES,LINCOLNSHIRE TEACHING PCT,363.01,Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"213,661.76",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,PHARMACY,DIAGNOSTICS PAN TRUST,HEALTHCARE PRODUCT SERVICES,"31,449.60",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,EQUIPMENT >#5K,CAPITAL PROGRAM,SIEMENS PLC,"50,956.80",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,EQUIPMENT >#5K,CAPITAL PROGRAM,SIEMENS PLC,"50,956.80",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,BLOOD PRODUCTS,DIAGNOSTICS PAN TRUST,NHS BLOOD AND TRANSPLANT,"96,320.51",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,BLOOD PRODUCTS,DIAGNOSTICS PAN TRUST,NHS BLOOD AND TRANSPLANT,"128,943.25",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,PATHOLOGY SERVICES,DIAGNOSTICS PAN TRUST,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"758,560.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,FUEL - STEAM,DIR OF FACILITIES / ESTATE,DALKIA UTILITIES SERVICES PLC,"43,594.58",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,11/04/2011,RATES,FACILITIES / ESTATES,LINCOLN CITY COUNCIL,"845,441.70",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,CLEANING EQUIPMENT MATERIALS,FACILITIES / ESTATES,THE SUNLIGHT SERVICE GROUP LTD,"55,423.52",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,FUEL - STEAM,DIR OF FACILITIES / ESTATE,COFELY LTD,"37,081.83",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,FUEL - STEAM,DIR OF FACILITIES / ESTATE,COFELY LTD,"24,501.33",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,FUEL - STEAM,DIR OF FACILITIES / ESTATE,COFELY LTD,"122,557.22",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,XRAY MAINTENANCE,DIAGNOSTICS PAN TRUST,NHS SUPPLY CHAIN (MAIDSTONE),"71,729.79",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,PHARMACY,DIAGNOSTICS PAN TRUST,HEALTHCARE PRODUCT SERVICES,"28,476.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,ENGIN AND MAINT EXT CONTRACTS,DIR OF FACILITIES / ESTATE,APOLLO LIFTS LTD,"106,470.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/04/2011,CONS FEE CHOOSE AND BOOK,BOSTONIAN,CHAURASIA MEDICAL SERVICES LTD,"38,940.60",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/04/2011,STRUCTURE,CAPITAL PROGRAM,MOWBRAY & SON LTD,"161,142.80",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,CHILDCARE VOUCHERS,PAN TRUST,KIDDIVOUCHERS LTD,"30,171.95",Apr-11
Grand Total,,,,,,"7,792,165.61",
