Senior official (SCS2 and above),Start date of trip,Duration of Visit,Destination,Purpose of trip,Mode of transport - air,Accommodation/Meals,Mode of transport - rail,Mode of transport - Eurostar,Mode of Transport - taxi,"PURPOSE - DETAIL - Include information on reason for type of ticket bought - eg economy, no further information required,  club class - reason it was required. (Delete from version for publishing)",Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc (£)",Total Cost of Use of Official Secure Car
Sarah MacIntosh - Director General Defence and Intelligence,17-Oct-15,6,Chile and Colombia.,Bilateral discussions with governments of Chile and Colombia.,yes,,Yes,No,Yes,Business out and back as over 10 hours (routed via Colombia as this was the cheapest option).,All events organised by the Embassy.,"£3,334",
Matthew Rycroft - UK Permanent Representative to UN,26-Oct-15,2 days,Boston,Meetings with BCG,,,£140.65,,£13.76,Standard train ticket purchased,All events organised by US Mission to the UN who had Presidency of the Security Council and organised the visit,£154.41,
Matthew Rycroft - UK Permanent Representative to UN,07-Dec-15,1 day,Washington,Visit with Security Council Permanent Representatives,,,275.97,,19.8,,,£295.77,
Shamik Dhar - Director Economics Unit,02-Nov-16,3 nights,Rome/Milan,Strengthen economic ties with Rome and Milan and their role within the EU,Flight from Heathrow to Rome and from Milan to Gatwick,,Rail:  from Rome to Milan,No - Italian rail service,Taxi to airport from Rome:  £13 / Taxi from Milan station to hotel:  £10,Economy fare from Heathrow to Rome and then economy fare from Milan to Gatwick.  Train journey Rome-Milan was economy.,No,Flights:  £136.11  / Train fare €75 plus extra €10 euros to go on later train.  Residence hosted Shamik for the night in Rome.  Hotel(2 nights) and meals in Milan: £467.83 plus £23 taxi.     Total:  £692.32,
Peter Hill - Director Strategy,09-Oct-15,2 days,"Bodrum, Turkey",Attend Centre for European Reform 11th Bodrum Roundtable,£222.34,,£19.90,,£60,Economy ,,£302,
Peter Hill - Director Strategy,09-Nov-15,2 days,Berlin,5th Berlin Foreign Policy Forum,£174.07,,£35,,£44.28,Economy ,,£253,
Peter Hill - Director Strategy,17-Nov-15,2 days,Washington,Daimler Forum,"£2,600.77",,£20,,£112.09,World Traveller Plus and Business (overnight flight) ,,"£2,733",
Peter Hill - Director Strategy,20-Nov-15,2 days,Geneva,World Policy Conference,£166.69,,£113.08,,,Economy ,,£280,
Hugh Elliott - Director Communications,21-Sep-15,1 day,Bristol,Civil Service Live (Bristol),,,£79,,,Economy,,£79,
Hugh Elliott - Director Communications,11-Oct-15,5 days,"Saudi Arabia, Qatar, UAE",Regional Bilateral Meetings,"£3,294.80",,,,£46.37,World Traveller Plus and Business (overnight flight),£120.85,"£3,462",
Hugh Elliott - Director Communications,24-Nov-15,1 day,Oxford,Speaking to Oxford University Diplomatic Studies students / Visit to Oxford Centre for Islamic Studies,,,£60,,,Economy,,£60,
Hugh Elliott - Director Communications,02-Nov-15,2 days,"Roade, nr Milton Keynes",FCO Services Board Dinner,,,£57.20,,£63,Economy,,Paid for by FCOS -£120,
Hugh Elliott - Director Communications,02-Nov-15,1 day,London,Chevening Orientation Day,,,£15.20,,,Economy,,£15,
Martin Reynolds - Principal Private Secretary,12-13 November,2 days,Prague and Vienna,Accompanying FS,RAF Flight,,,,,Accompanied FS on visits to Prague (Bilateral) and Vienna (ISSG).  Travelled on RAF flight with FS and stayed in Residence so no direct cost,,NIL,
Richard Burge - Director Wilton Park,26-Aug-16,3 days,Taxi in Laos,facilitating Wilton Park event,,,,,Yes,,,£12,
Richard Burge - Director Wilton Park,1 Oct-31 Dec 2015 ,day trips,Taxis in Sept,Trips to FCO,,,,,Yes,,,£350,
Richard Burge - Director Wilton Park,06-Oct-15,3 days,Toronto/Washington,Meetings with funding partners,,,,,,,,"£1,419",
Richard Burge - Director Wilton Park,06-Oct-15,1 day,Taxi,Meetings with funding partners,Yes,,,,Yes,,,£18,
Richard Burge - Director Wilton Park,06-Oct-15,1 day,Train to London (Single),Meetings with funding partners,,,,,,,,£27,
Richard Burge - Director Wilton Park,06-Oct-15,1 day,Train from London (Single),Meetings with funding partners,,,Yes,,,,,£22,
Richard Burge - Director Wilton Park,08-Oct-15,1 day,Train to London (Rtn),Meetings with funding partners,,,Yes,,,,,£53,
Richard Burge - Director Wilton Park,08-Oct-15,1 day,Taxi to Shoreham (Rtn),Meetings with funding partners,,,Yes,,Yes,,,£44,
Richard Burge - Director Wilton Park,13-Oct-15,1 day,Train to London (Rtn),Meetings at FCO,,,,,,,,£53,
Richard Burge - Director Wilton Park,08-Oct-15,1 day,Taxi to Shoreham (Rtn),Meetings with funding partners,,,Yes,,Yes,,,£44,
Richard Burge - Director Wilton Park,15-Oct-15,1 day,Train to London (Single),Meetings at FCO,,,,,,,,£116,
Richard Burge - Director Wilton Park,16-Oct-15,1 day,Train from London (Single),Meetings at FCO,Yes,,Yes,,,,,£27,
Richard Burge - Director Wilton Park,16-Oct-15,1 day,Taxi to Brighton,Meetings at FCO,,,Yes,,Yes,,,£80,
Richard Burge - Director Wilton Park,21-Oct-15,1 day,Train to London (Rtn),Commonwealth Sholarship work,,,,,,,,£57,
Richard Burge - Director Wilton Park,22-Oct-15,1 day,Train to London (Rtn),Commonwealth Sholarship work,,,Yes,,,,,£143,
Richard Burge - Director Wilton Park,22-Oct-15,1 day,Oyster card top-up,Commonwealth Sholarship work,,,Yes,,Yes,,,£20,
Richard Burge - Director Wilton Park,30-Oct-15,6 days,Taxi to Heathrow,Meetings with funding partners,,,,,Yes,,,£85,
Richard Burge - Director Wilton Park,02-Nov-16,6 days,Trip to Washington,Meetings with funding partners,,,,,Yes,,,£823,
Richard Burge - Director Wilton Park,07-Nov-15,6 days,Taxi from Gatwick,Meetings with funding partners,,,Yes,,Yes,,,£50,
Richard Burge - Director Wilton Park,08-Nov-15,6 days,Taxi to Gatwick,Meetings with funding partners,,,,,Yes,,,£45,
Richard Burge - Director Wilton Park,08-Nov-15,6 days,Taxi from Heathrow,Meetings with funding partners,,,,,Yes,,,£90,
Richard Burge - Director Wilton Park,08-Nov-15,6 days,Refreshments,Meetings with funding partners,,,,,,,,£7,
Richard Burge - Director Wilton Park,18-Nov-15,3 days,Taxi to Gatwick,facilitating Wilton Park event,,,,,Yes,,,£45,
Richard Burge - Director Wilton Park,24-Nov-16,1 day,Meeting Creon Butler,Meetings with funding partners,,,,,,,,£23,
Richard Burge - Director Wilton Park,03-Dec-15,1 day,Taxi to Lunch with Chilean Ambassador,Meetings with funding partners,,,Yes,,Yes,,,£18,
Richard Burge - Director Wilton Park,1 Oct-31 Dec 2015 ,day trips,Various Taxis,Meetings with funding partners,,,,,Yes,,,£272,
