Bathing Water Classifications (BW2006/7/EC) - 2016 Classification,,,,,,
Individual bathing water classifications,,,,,,
See information worksheet for column heading descriptions.,,,,,,
Area,BW Ref,Name,2016 Classification,2015 Classification,2015_2016_Comparison,GridRef
Essex Norfolk and Suffolk,11500,Clacton,Excellent,Excellent,No change,TM1879015250
Essex Norfolk and Suffolk,11550,Clacton (Groyne 41),Poor,Poor,No change,TM1760014300
Essex Norfolk and Suffolk,11600,Jaywick,Excellent,Good,Good to Excellent,TM1485012800
Essex Norfolk and Suffolk,11650,Clacton Beach Martello Tower,Good,Sufficient,Sufficient to Good,TM1670013700
Essex Norfolk and Suffolk,11700,Brightlingsea,Excellent,Excellent,No change,TM0764716182
Essex Norfolk and Suffolk,11750,West Mersea,Good,Good,No change,TM0227012030
West Thames,11760,Cotswold Country Park and Beach,Excellent,Excellent,No change,SU0280095800
Kent and South London,11770,Shoebury East,Excellent,Excellent,No change,TQ9457085150
Kent and South London,11780,Shoeburyness,Excellent,Excellent,No change,TQ9255084100
Kent and South London,11800,Southend Thorpe Bay,Excellent,Excellent,No change,TQ9110084700
Kent and South London,11830,Southend Jubilee,Good,Sufficient,Sufficient to Good,TQ8900084500
Kent and South London,11850,Southend Three Shells,Good,Good,No change,TQ8820085050
Kent and South London,11900,Southend Westcliff Bay,Excellent,Excellent,No change,TQ8645085250
Kent and South London,11902,Southend Chalkwell,Good,Good,No change,TQ8547085440
Kent and South London,11904,Leigh Bell Wharf,Sufficient,Good,Good to Sufficient,TQ8405085570
Hertfordshire and North London,11910,Hampstead Heath (Ladies Pond),Excellent,Excellent,No change,TQ2762086920
Hertfordshire and North London,11920,Hampstead Heath (Mens Pond),Excellent,Excellent,No change,TQ2787086550
Hertfordshire and North London,11930,Hampstead Heath (Mixed Pond),Good,Good,No change,TQ2721086240
Hertfordshire and North London,11940,The Serpentine - Hyde Park,Sufficient,Sufficient,No change,TQ2717080030
West Thames,11945,Frensham Great Pond,Excellent,Good,Good to Excellent,SU8458840478
Kent and South London,11950,Sheerness,Excellent,Excellent,No change,TQ9191775199
Kent and South London,11975,Minster Leas,Excellent,Excellent,No change,TQ9509474170
Kent and South London,12000,Leysdown,Good,Excellent,Excellent to Good,TR0333670841
Kent and South London,12100,"West Beach, Whitstable",Excellent,Excellent,No change,TR0980066000
Kent and South London,12120,Tankerton,Excellent,Excellent,No change,TR1212067333
Kent and South London,12150,Herne Bay Central,Good,Good,No change,TR1715068280
Kent and South London,12200,Herne Bay,Excellent,Excellent,No change,TR1860068600
Kent and South London,12300,"Minnis Bay, Birchington",Excellent,Excellent,No change,TR2860069700
Kent and South London,12350,"West Bay, Westgate",Excellent,Excellent,No change,TR3196870175
Kent and South London,12400,"St Mildred's Bay, Westgate",Excellent,Excellent,No change,TR3268770396
Kent and South London,12450,"Westbrook Bay, Margate",Good,Good,No change,TR3410070600
Kent and South London,12500,Margate The Bay,Good,Good,No change,TR3497070814
Kent and South London,12600,Margate Fulsam Rock,Good,Good,No change,TR3569271402
Kent and South London,12630,"Walpole Bay, Margate",Poor,Poor,No change,TR3657071395
Kent and South London,12660,"Botany Bay, Broadstairs",Excellent,Excellent,No change,TR3910071200
Kent and South London,12700,"Joss Bay, Broadstairs",Excellent,Excellent,No change,TR3990870099
Kent and South London,12750,"Broadstairs, Stone Bay",Excellent,Excellent,No change,TR3992368564
Kent and South London,12800,"Broadstairs, Viking Bay",Sufficient,Sufficient,No change,TR3980067700
Kent and South London,12850,Ramsgate Sands,Good,Excellent,Excellent to Good,TR3867564806
Kent and South London,12900,Ramsgate Western Undercliffe,Excellent,Excellent,No change,TR3740664120
Kent and South London,13000,Sandwich Bay,Excellent,Excellent,No change,TR3577859142
Kent and South London,13100,Deal Castle,Excellent,Excellent,No change,TR3783752805
Kent and South London,13200,St Margaret`s Bay,Excellent,Excellent,No change,TR3687844490
Kent and South London,13300,Folkestone,Excellent,Excellent,No change,TR2361536249
Kent and South London,13400,Sandgate,Excellent,Excellent,No change,TR1880034800
Kent and South London,13500,Hythe,Excellent,Excellent,No change,TR1600034000
Kent and South London,13600,Dymchurch,Good,Good,No change,TR1024029300
Kent and South London,13700,St Mary's Bay (Kent),Good,Good,No change,TR0930027700
Kent and South London,13800,Littlestone,Sufficient,Sufficient,No change,TR0840023900
Kent and South London,13900,Camber,Good,Good,No change,TQ9658618585
Kent and South London,14000,Winchelsea,Excellent,Good,Good to Excellent,TQ9120015400
Solent and South Downs,14100,Hastings Pelham Beach,Good,Good,No change,TQ8210209189
Solent and South Downs,14150,St Leonards,Excellent,Excellent,No change,TQ7970008700
Solent and South Downs,14200,Bexhill,Good,Good,No change,TQ7404207018
Solent and South Downs,14300,Norman`s Bay,Excellent,Excellent,No change,TQ6820005300
Solent and South Downs,14400,Pevensey Bay,Good,Excellent,Excellent to Good,TQ6568703791
Solent and South Downs,14500,Eastbourne,Excellent,Excellent,No change,TV6140098200
Solent and South Downs,14550,Birling Gap,Excellent,Excellent,No change,TV5536795973
Solent and South Downs,14600,Seaford,Excellent,Excellent,No change,TV4782098950
Solent and South Downs,14800,Saltdean,Excellent,Excellent,No change,TQ3810001800
Solent and South Downs,14900,Brighton Kemptown,Good,Excellent,Excellent to Good,TQ3238403503
Solent and South Downs,14950,Brighton Central,Excellent,Excellent,No change,TQ3070103940
Solent and South Downs,15000,Hove,Excellent,Excellent,No change,TQ2922504232
Solent and South Downs,15100,Southwick,Excellent,Excellent,No change,TQ2435804728
Solent and South Downs,15200,Shoreham Beach,Excellent,Excellent,No change,TQ2184804429
Solent and South Downs,15300,"Lancing, Beach Green",Good,Sufficient,Sufficient to Good,TQ1830003600
Solent and South Downs,15400,Worthing,Good,Good,No change,TQ1390002100
Solent and South Downs,15500,Littlehampton,Good,Good,No change,TQ0306001320
Solent and South Downs,15600,Middleton-on-sea,Excellent,Excellent,No change,SZ9850099900
Solent and South Downs,15650,Felpham,Good,Good,No change,SZ9508099390
Solent and South Downs,15680,Bognor Regis East,Good,Good,No change,SZ9390098930
Solent and South Downs,15700,Bognor Regis (Aldwick),Sufficient,Good,Good to Sufficient,SZ9236098557
Solent and South Downs,15800,Pagham,Good,Good,No change,SZ8920097200
Solent and South Downs,15900,Selsey,Good,Good,No change,SZ8687293686
Solent and South Downs,16000,Bracklesham Bay,Excellent,Excellent,No change,SZ8046296331
Solent and South Downs,16100,West Wittering,Excellent,Excellent,No change,SZ7680098000
Solent and South Downs,16300,Eastoke,Excellent,Excellent,No change,SZ7290098400
Solent and South Downs,16350,Beachlands Central,Excellent,Excellent,No change,SZ7135098710
Solent and South Downs,16400,Beachlands West,Excellent,Excellent,No change,SZ7050098700
Solent and South Downs,16500,Eastney,Excellent,Excellent,No change,SZ6741098774
Solent and South Downs,16600,Southsea East,Excellent,Good,Good to Excellent,SZ6500098080
Solent and South Downs,16700,Stokes Bay,Excellent,Excellent,No change,SZ6000097900
Solent and South Downs,16800,Lee-on-Solent,Excellent,Excellent,No change,SU5617200458
Solent and South Downs,16850,Hillhead,Good,Excellent,Excellent to Good,SU5467001830
Solent and South Downs,16900,Calshot,Excellent,Excellent,No change,SU4813801306
Solent and South Downs,17000,Lepe,Excellent,Excellent,No change,SZ4560098500
Solent and South Downs,17100,Milford-on-sea,Excellent,Excellent,No change,SZ2758291779
Solent and South Downs,17200,Christchurch Bay,Excellent,Excellent,No change,SZ2390092800
Solent and South Downs,17300,Highcliffe,Excellent,Excellent,No change,SZ2137493085
Solent and South Downs,17400,Compton Bay,Excellent,Excellent,No change,SZ3768184179
Solent and South Downs,17500,Totland Bay,Excellent,Excellent,No change,SZ3219586895
Solent and South Downs,17600,Colwell Bay,Excellent,Excellent,No change,SZ3269987859
Solent and South Downs,17700,Gurnard,Good,Good,No change,SZ4770095900
Solent and South Downs,17800,Cowes,Excellent,Excellent,No change,SZ4880096700
Solent and South Downs,17900,Ryde,Good,Good,No change,SZ6010092700
Solent and South Downs,18000,Seagrove,Good,Good,No change,SZ6315091123
Solent and South Downs,18100,St Helens,Excellent,Good,Good to Excellent,SZ6375589160
Solent and South Downs,18200,Bembridge,Good,Sufficient,Sufficient to Good,SZ6581787808
Solent and South Downs,18300,Whitecliff Bay,Excellent,Excellent,No change,SZ6410086200
Solent and South Downs,18350,Yaverland,Good,Good,No change,SZ6136085040
Solent and South Downs,18400,Sandown,Good,Good,No change,SZ6013984264
Solent and South Downs,18500,Shanklin,Good,Sufficient,Sufficient to Good,SZ5858081137
Solent and South Downs,18600,Ventnor,Excellent,Excellent,No change,SZ5601877341
Wessex,18700,Christchurch Highcliffe Castle,Excellent,Excellent,No change,SZ2024892931
Wessex,18750,Christchurch Friar`s Cliff,Excellent,Excellent,No change,SZ1919492528
Wessex,18800,Christchurch Avon Beach,Good,Good,No change,SZ1889592216
Wessex,18900,Christchurch Mudeford Sandbank East,Excellent,Excellent,No change,SZ1830091100
Wessex,19000,Bournemouth Hengistbury West,Excellent,Excellent,No change,SZ1625790826
Wessex,19020,Bournemouth Southbourne,Excellent,Excellent,No change,SZ1480091060
Wessex,19030,Bournemouth Fisherman`s Walk,Excellent,Excellent,No change,SZ1302491248
Wessex,19060,Bournemouth Boscombe Pier,Good,Good,No change,SZ1110791104
Wessex,19100,Bournemouth Pier,Good,Good,No change,SZ0886090657
Wessex,19150,Bournemouth Durley Chine,Excellent,Excellent,No change,SZ0795190387
Wessex,19160,Bournemouth Alum Chine,Excellent,Excellent,No change,SZ0748190171
Wessex,19170,Poole Branksome Chine,Excellent,Excellent,No change,SZ0645589589
Wessex,19190,Poole Canford Cliffs Chine,Excellent,Excellent,No change,SZ0571088983
Wessex,19200,Poole Shore Road Beach,Excellent,Excellent,No change,SZ0508588337
Wessex,19350,Poole Sandbanks Peninsular,Excellent,Excellent,No change,SZ0452087673
Wessex,19400,Poole Harbour Lake,Excellent,Excellent,No change,SY9831390468
Wessex,19450,Poole Harbour Rockley Sands,Excellent,Excellent,No change,SY9726391078
Wessex,19600,Shell Bay North,Excellent,Excellent,No change,SZ0371486533
Wessex,19700,Studland Knoll House,Excellent,Excellent,No change,SZ0343083602
Wessex,19800,Swanage Central,Excellent,Excellent,No change,SZ0310279303
Wessex,19900,Kimmeridge Bay,Excellent,Excellent,No change,SY9079879094
Wessex,20000,Lulworth Cove,Good,Good,No change,SY8245779943
Wessex,20100,Durdle Door East,Excellent,Excellent,No change,SY8070380291
Wessex,20200,Durdle Door West,Excellent,Excellent,No change,SY8049380285
Wessex,20300,Ringstead Bay,Excellent,Excellent,No change,SY7524681320
Wessex,20400,Bowleaze Cove,Excellent,Good,Good to Excellent,SY7023681919
Wessex,20500,Church Ope Cove,Excellent,Excellent,No change,SY6976071000
Wessex,20600,Weymouth Lodmoor,Excellent,Excellent,No change,SY6882080780
Wessex,20700,Weymouth Central,Excellent,Excellent,No change,SY6810079514
Wessex,20800,Portland Harbour Castle Cove,un-assessed,Closed,,SY6756077500
Wessex,20900,Portland Harbour Sandsfoot Castle,Excellent,Good,Good to Excellent,SY6728577271
Wessex,20970,Hive,Excellent,Excellent,No change,SY4901688762
Wessex,21000,West Bay (West),Excellent,Excellent,No change,SY4597490430
Wessex,21100,Eypemouth,Excellent,Excellent,No change,SY4468591013
Wessex,21200,Seatown,Excellent,Excellent,No change,SY4187391711
Wessex,21300,Charmouth West,Excellent,Good,Good to Excellent,SY3626093050
Wessex,21500,Lyme Regis Front Beach,Good,Good,No change,SY3390091850
Devon and Cornwall,21600,Seaton (Devon),Excellent,Excellent,No change,SY2450089850
Devon and Cornwall,21700,Beer,Excellent,Excellent,No change,SY2312189111
Devon and Cornwall,21800,Sidmouth Town,Excellent,Good,Good to Excellent,SY1226787019
Devon and Cornwall,21900,Sidmouth Jacobs Ladder,Excellent,Excellent,No change,SY1192086921
Devon and Cornwall,22000,Ladram Bay,Good,Sufficient,Sufficient to Good,SY0965385106
Devon and Cornwall,22100,Budleigh Salterton,Excellent,Good,Good to Excellent,SY0686081900
Devon and Cornwall,22200,Sandy Bay,Excellent,Excellent,No change,SY0330079800
Devon and Cornwall,22300,Exmouth,Excellent,Good,Good to Excellent,SY0092079980
Devon and Cornwall,22400,Dawlish Warren,Excellent,Excellent,No change,SX9826078760
Devon and Cornwall,22500,Dawlish Town,Excellent,Good,Good to Excellent,SX9646776705
Devon and Cornwall,22600,Dawlish Coryton Cove,Excellent,Excellent,No change,SX9611076040
Devon and Cornwall,22700,Teignmouth Holcombe,Excellent,Excellent,No change,SX9565074610
Devon and Cornwall,22800,Teignmouth Town,Good,Sufficient,Sufficient to Good,SX9428072800
Devon and Cornwall,22900,Shaldon,Excellent,Sufficient,Sufficient to Excellent,SX9363672196
Devon and Cornwall,23000,Ness Cove,Excellent,Excellent,No change,SX9392571776
Devon and Cornwall,23100,Maidencombe,Excellent,Excellent,No change,SX9278068500
Devon and Cornwall,23200,Watcombe,Excellent,Excellent,No change,SX9262067300
Devon and Cornwall,23300,Oddicombe,Excellent,Excellent,No change,SX9261965835
Devon and Cornwall,23400,Babbacombe,Excellent,Excellent,No change,SX9300065450
Devon and Cornwall,23501,Anstey's Cove (Torquay),Excellent,Excellent,No change,SX9357464634
Devon and Cornwall,23600,Meadfoot,Excellent,Excellent,No change,SX9301763058
Devon and Cornwall,23700,Beacon Cove,Excellent,Excellent,No change,SX9195063070
Devon and Cornwall,23800,Torre Abbey,Good,Good,No change,SX9107663641
Devon and Cornwall,23900,Hollicombe,Excellent,Excellent,No change,SX8980062150
Devon and Cornwall,24000,Paignton Preston Sands,Good,Good,No change,SX8960061670
Devon and Cornwall,24100,Paignton Paignton Sands,Sufficient,Sufficient,No change,SX8939060630
Devon and Cornwall,24200,Goodrington,Good,Good,No change,SX8931759350
Devon and Cornwall,24300,Broadsands,Good,Good,No change,SX8964257393
Devon and Cornwall,24500,Breakwater Beach (Shoalstone),Excellent,Excellent,No change,SX9317056660
Devon and Cornwall,24600,St Mary's Bay (Devon),Excellent,Excellent,No change,SX9320055010
Devon and Cornwall,24700,Dartmouth Castle and Sugary Cove,Excellent,Excellent,No change,SX8870050300
Devon and Cornwall,24800,Blackpool Sands,Excellent,Excellent,No change,SX8550047850
Devon and Cornwall,24900,Slapton Sands Monument,Excellent,Excellent,No change,SX8290044180
Devon and Cornwall,25000,Slapton Sands Torcross,Excellent,Excellent,No change,SX8235042000
Devon and Cornwall,25100,Mill Bay,Excellent,Excellent,No change,SX7407038160
Devon and Cornwall,25200,Salcombe North Sands,Excellent,Excellent,No change,SX7310038200
Devon and Cornwall,25300,Salcombe South Sands,Good,Good,No change,SX7285037750
Devon and Cornwall,25400,Hope Cove,Excellent,Excellent,No change,SX6753239726
Devon and Cornwall,25500,Thurlestone South,Excellent,Excellent,No change,SX6765041700
Devon and Cornwall,25600,Thurlestone North,Excellent,Good,Good to Excellent,SX6740042100
Devon and Cornwall,25700,Bantham,Excellent,Sufficient,Sufficient to Excellent,SX6623043800
Devon and Cornwall,25800,Bigbury-on-Sea South,Excellent,Good,Good to Excellent,SX6508044130
Devon and Cornwall,25900,Bigbury-on-Sea North,Excellent,Excellent,No change,SX6495044300
Devon and Cornwall,26000,Challaborough,Excellent,Excellent,No change,SX6492044800
Devon and Cornwall,26100,Mothecombe,Good,Sufficient,Sufficient to Good,SX6105047340
Devon and Cornwall,26200,Wembury,Good,Sufficient,Sufficient to Good,SX5165048530
Devon and Cornwall,26300,Bovisand,Excellent,Good,Good to Excellent,SX4926050550
Devon and Cornwall,26400,Plymouth Hoe East,Excellent,Excellent,No change,SX4783053750
Devon and Cornwall,26500,Plymouth Hoe West,Excellent,Excellent,No change,SX4750053770
Devon and Cornwall,26520,Kingsand,Excellent,Excellent,No change,SX4357050500
Devon and Cornwall,26530,Cawsand,Excellent,Excellent,No change,SX4342050200
Devon and Cornwall,26570,Whitsand Bay (Sharrow),un-assessed,Excellent,,SX3933052185
Devon and Cornwall,26600,Portwrinkle,Excellent,Excellent,No change,SX3596053830
Devon and Cornwall,26700,Downderry,Excellent,Excellent,No change,SX3147053920
Devon and Cornwall,26800,Seaton (Cornwall),Good,Sufficient,Sufficient to Good,SX3037054330
Devon and Cornwall,26900,Millendreath,Excellent,Excellent,No change,SX2681054080
Devon and Cornwall,27000,East Looe,Sufficient,Poor,Poor to Sufficient,SX2570053170
Devon and Cornwall,27100,Readymoney,Excellent,Good,Good to Excellent,SX1183051080
Devon and Cornwall,27200,Polkerris,Excellent,Excellent,No change,SX0928052100
Devon and Cornwall,27300,Par,Good,Good,No change,SX0851053140
Devon and Cornwall,27400,Shorthorn,Excellent,Excellent,No change,SX0633052180
Devon and Cornwall,27500,Crinnis,Excellent,Excellent,No change,SX0555052040
Devon and Cornwall,27600,Charlestown,Excellent,Excellent,No change,SX0400051550
Devon and Cornwall,27700,Duporth,Excellent,Excellent,No change,SX0352051150
Devon and Cornwall,27800,Porthpean,Excellent,Excellent,No change,SX0323050730
Devon and Cornwall,27900,Pentewan,Excellent,Excellent,No change,SX0188046770
Devon and Cornwall,28000,Polstreath,Excellent,Excellent,No change,SX0171045310
Devon and Cornwall,28100,Portmellon,Excellent,Good,Good to Excellent,SX0156043920
Devon and Cornwall,28200,Gorran Haven Little Perhaver,Good,Good,No change,SX0133041590
Devon and Cornwall,28300,Gorran Haven (Vault),Excellent,Excellent,No change,SX0130040930
Devon and Cornwall,28400,Porthluney,Good,Sufficient,Sufficient to Good,SW9734041290
Devon and Cornwall,28500,Pendower,Excellent,Excellent,No change,SW8975038120
Devon and Cornwall,28550,Porthcurnick,Excellent,Excellent,No change,SW8790036020
Devon and Cornwall,28600,Gyllyngvase,Excellent,Excellent,No change,SW8094031680
Devon and Cornwall,28700,Swanpool,Excellent,Excellent,No change,SW8032031260
Devon and Cornwall,28800,Maenporth,Good,Good,No change,SW7898029570
Devon and Cornwall,28900,Porthallow,Excellent,Excellent,No change,SW7974023260
Devon and Cornwall,29000,Porthoustock,Excellent,Excellent,No change,SW8076021770
Devon and Cornwall,29100,Coverack,Excellent,Excellent,No change,SW7826018400
Devon and Cornwall,29200,Kennack Sands,Excellent,Excellent,No change,SW7341016460
Devon and Cornwall,29400,Polurrian Cove,Excellent,Excellent,No change,SW6686018770
Devon and Cornwall,29500,Poldhu Cove,Excellent,Excellent,No change,SW6655019920
Devon and Cornwall,29501,Church Cove,Excellent,Excellent,No change,SW6610020500
Devon and Cornwall,29800,Porthleven West,Excellent,Excellent,No change,SW6295025370
Devon and Cornwall,29900,Praa Sands East,Excellent,Excellent,No change,SW5847027600
Devon and Cornwall,30000,Praa Sands West,Excellent,Excellent,No change,SW5762028080
Devon and Cornwall,30100,Perranuthnoe,Excellent,Excellent,No change,SW5398029250
Devon and Cornwall,30200,Mounts Bay Marazion,Good,Good,No change,SW5131730962
Devon and Cornwall,30300,Mounts Bay Long Rock,Excellent,Good,Good to Excellent,SW4865031070
Devon and Cornwall,30400,Mounts Bay Penzance,Excellent,Excellent,No change,SW4734029830
Devon and Cornwall,30500,Mounts Bay Wherry Town,Excellent,Good,Good to Excellent,SW4664329224
Devon and Cornwall,30600,Porthcurno,Excellent,Excellent,No change,SW3874022250
Devon and Cornwall,30700,Sennen,Excellent,Excellent,No change,SW3556026400
Devon and Cornwall,30800,Porthmeor,Excellent,Excellent,No change,SW5159040840
Devon and Cornwall,30900,Porthgwidden,Excellent,Excellent,No change,SW5208041030
Devon and Cornwall,31000,Porthminster,Excellent,Excellent,No change,SW5206040080
Devon and Cornwall,31100,Carbis Bay Station Beach,Excellent,Excellent,No change,SW5282038940
Devon and Cornwall,31200,Carbis Bay Porth Kidney Sands,Excellent,Excellent,No change,SW5462038340
