Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Amount  
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Media and Design Services,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020619,"£1,295.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Media and Design Services,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020620,"£3,260.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Media and Design Services,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020620,"£10,385.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Media and Design Services,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020627,"£1,390.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Printing (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020629,"£4,305.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Media and Design Services,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020629,"£4,305.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Printing (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020643,"£7,270.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE EUROPEAN MARINE ENERGY CENTRE LTD,4020655,"£465,645.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FCO SERVICES,4020668,"£6,379.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FCO SERVICES,4020669,"£4,385.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4020670,"£11,101.21"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4020677,"£1,382.32"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020698,£631.08
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020700,£569.13
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ADAM BOND COMMERCIAL ADVISORY LTD,4020708,"£20,825.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020713,£615.59
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020715,£603.97
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020717,£549.77
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Maintenance of IT Equipment,National Climate Change & Consumer Support - National Climate Change,AMTEC Consulting plc,4020722,"£20,881.44"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Maintenance of IT Equipment,National Climate Change & Consumer Support - National Climate Change,AMTEC Consulting plc,4020723,"£7,299.74"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Maintenance of IT Equipment,National Climate Change & Consumer Support - National Climate Change,AMTEC Consulting plc,4020724,"£1,548.45"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Maintenance of IT Equipment,National Climate Change & Consumer Support - National Climate Change,AMTEC Consulting plc,4020725,"£10,441.82"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Technical Support,National Climate Change & Consumer Support - National Climate Change,AETHER LTD,4020726,"£1,981.53"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Technical Advice / Services & Support,National Climate Change & Consumer Support - Energy Efficiency & Consumers,BRE,4020727,"£74,979.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,HOOK NORTON LOW CARBON LTD,4020729,"£4,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,LAMMAS LOW IMPACT INITIATIVES LTD,4020730,"£3,997.88"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020732,£534.28
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020735,£530.42
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,OFFICE ANGELS LTD,4020736,£619.46
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020737,£534.28
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,COI COMMUNICATIONS,4020753,"£2,350.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,International Subscriptions,Energy Markets & Infrastructure - Security and resilience,INTERNATIONAL ATOMIC ENERGY AGENCY,4020785,"£11,634,806.25"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,ICT Infrastructure Specific Service (PFI),Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4020244,"£6,389.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Other Centrally -Funded IT Maintenance and Support,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4020245,"£4,580.88"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4020434,"£2,828.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4020435,"£2,828.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Other Training Costs (Programme),Energy Markets & Infrastructure - Security and resilience,ENVIRONMENT AGENCY,4020437,"£5,931.41"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Strategy - Strategy and Delivery Unit,OFFICE ANGELS LTD,4020483,£774.56
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,UNIVERSITY OF CAMBRIDGE,4020491,"£11,921.25"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Honoraria / Fees and Expenses,Corporate Support & Shared Services - Corporate Support & Shared Services,HUDSON GLOBAL RESOURCES LTD,4020502,"£1,233.75"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Honoraria / Fees and Expenses,Corporate Support & Shared Services - Corporate Support & Shared Services,HUDSON GLOBAL RESOURCES LTD,4020503,"£1,233.75"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Honoraria / Fees and Expenses,Corporate Support & Shared Services - Corporate Support & Shared Services,HUDSON GLOBAL RESOURCES LTD,4020504,"£1,233.75"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Honoraria / Fees and Expenses,Corporate Support & Shared Services - Corporate Support & Shared Services,HUDSON GLOBAL RESOURCES LTD,4020505,"£1,233.75"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Capital Grants to Local Authorities - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4020513,"£3,077,845.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,ASPIRE EUROPE LTD,4020516,"£2,400.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4020522,"£48,937.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4020538,"£1,727.90"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Research & Development Expenditure (Programme),National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4020548,"£16,374.17"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Capital Grants - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4020550,"£263,024.35"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,QA LTD,4020571,£910.00
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4020585,"£28,108.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,External Legal Advice,Energy Markets & Infrastructure - DECC Commercial Team,FRESHFIELDS BRUCKHAUS DERINGER,4020621,"£85,236.92"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,External Legal Advice,Energy Markets & Infrastructure - DECC Commercial Team,FRESHFIELDS BRUCKHAUS DERINGER,4020623,"£97,855.82"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Media and Design Services,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020631,"£12,590.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Media and Design Services,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020632,"£1,210.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Printing (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020633,"£2,690.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Media and Design Services,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020633,"£2,690.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",HUDSON GLOBAL RESOURCES LTD,4020634,"£14,064.75"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Science & Innovation Group - Science & Innovation Group,ADECCO UK LTD,4020638,£625.15
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Science & Innovation Group - Science & Innovation Group,ADECCO UK LTD,4020638,£625.15
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ADECCO UK LTD,4020644,£627.12
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4020646,£525.85
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Consultancy Advice Provided From Third Parties,Energy Markets & Infrastructure - Security and resilience,STEELHENGE CONSULTING LTD,4020671,"£10,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Grants - Non Statutory - Current - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TELFORD AND WREKIN COUNCIL,4020696,"£40,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020712,£557.51
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,BROOK STREET (UK) LTD,4020721,£602.50
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Honoraria / Fees and Expenses,Corporate Support & Shared Services - Corporate Support & Shared Services,HUDSON GLOBAL RESOURCES LTD,4020741,"£1,233.75"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4020742,"£80,318.55"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Professional Subscriptions,Energy Markets & Infrastructure - Energy Development Unit,ENVIRONMENTAL DATA SERVICES PART OF HAYMARKET PUBLISHING SERVICES LTD,4020745,"£2,342.89"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Science & Innovation Group - Science & Innovation Group,ADECCO UK LTD,4020754,£704.53
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,ADECCO UK LTD,4020755,£564.80
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Technical Advice / Services & Support,Energy Markets & Infrastructure - Energy Development Unit,COI COMMUNICATIONS,4020756,"£16,660.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,External Training,Energy Markets & Infrastructure - Energy Development Unit,PETROFAC TRAINING LTD,4020759,£636.00
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,ADECCO UK LTD,4020761,£571.19
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4020763,£525.85
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MILLER & YOUNG UK LTD T/A MYFM,4020764,"£6,125.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4020769,"£130,974.94"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4020770,"£1,553.49"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Business Management Advice,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",DELOITTE MCS LTD,4020772,"£50,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,External Training,National Climate Change & Consumer Support - Energy Efficiency & Consumers,PARTNERSHIP MEDIA GROUP LTD T/A GOVNET COMMUNICATIONS,4020773,£790.00
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,LANCASTER COHOUSING COMPANY LTD,4020775,"£54,708.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4020778,"£15,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4020780,"£9,826.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4020786,"£1,186,796.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4020786,"£1,456,378.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4020786,"£1,487,428.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Capital Grants to Private Sector - Own Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4020786,"£3,259,554.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Capital Grants to Private Sector - Own Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4020786,"£841,743.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Hire of Conference Facilities,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,CENTRAL HALL WESTMINSTER LTD,4020787,"£2,144.38"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4020789,"£17,542.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4020790,"£3,700.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4020791,"£55,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4020792,"£8,200.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Media and Design Services,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020794,"£1,550.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Media and Design Services,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020796,"£1,160.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4020797,"£2,805.17"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,IT Systems Development,National Climate Change & Consumer Support - Communications,DELIB LTD,4020799,"£20,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06/01/2011,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4020803,"£2,176.25"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4020575,"£109,467.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4020577,"£21,500.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4020637,£719.73
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4020680,£579.16
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,OFFICE ANGELS LTD,4020710,£526.54
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020734,£603.97
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4020795,"£2,880.98"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4020798,"£1,036.74"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4020810,"£3,525.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4020811,"£3,525.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4020812,£782.94
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Media and Design Services,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020813,"£2,600.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,Reed Personnel Services Ltd,4020816,£534.25
