"Department Family","Entity","Date","Expense Type","Expense Area","Supplier","Transaction Number","Amount","Invoice Number"
"Department of Health","Portsmouth Hospitals Trust","03/02/2012","SYS Inventory","Balance Sheet","ELI LILLY & CO LTD",14266968,31872.96,"8011382223"
"Department of Health","Portsmouth Hospitals Trust","03/02/2012","SYS Inventory","Balance Sheet","FRESENIUS KABI LTD",14267032,60444.12,"911729229"
"Department of Health","Portsmouth Hospitals Trust","21/02/2012","SYS Inventory","Balance Sheet","GILEAD SCIENCES LTD",14427472,335434.39,"4410003987"
"Department of Health","Portsmouth Hospitals Trust","24/02/2012","SYS Inventory","Balance Sheet","JANSSEN CILAG LTD",14385630,54891.36,"91772779"
"Department of Health","Portsmouth Hospitals Trust","10/02/2012","SYS Inventory","Balance Sheet","JANSSEN CILAG LTD",14408837,31644,"91768924"
"Department of Health","Portsmouth Hospitals Trust","17/02/2012","SYS Inventory","Balance Sheet","JANSSEN CILAG LTD",14441432,43836.6,"91768922"
"Department of Health","Portsmouth Hospitals Trust","17/02/2012","SYS Inventory","Balance Sheet","NOVARTIS PHARMACEUTICALS UK LTD",14441377,49120.22,"91000332"
"Department of Health","Portsmouth Hospitals Trust","21/02/2012","SYS Inventory","Balance Sheet","NOVARTIS PHARMACEUTICALS UK LTD",14441458,358333.4,"91008252"
"Department of Health","Portsmouth Hospitals Trust","21/02/2012","SYS Inventory","Balance Sheet","NOVARTIS PHARMACEUTICALS UK LTD",14454927,39461.92,"91004688"
"Department of Health","Portsmouth Hospitals Trust","21/02/2012","SYS Inventory","Balance Sheet","ROCHE PRODUCTS LTD",14435171,52389,"1321452026"
"Department of Health","Portsmouth Hospitals Trust","17/02/2012","SYS Inventory","Balance Sheet","ROCHE PRODUCTS LTD",14435256,109429.57,"1321448080"
"Department of Health","Portsmouth Hospitals Trust","17/02/2012","SYS Inventory","Balance Sheet","ROCHE PRODUCTS LTD",14435257,589632.9,"1321448081"
"Department of Health","Portsmouth Hospitals Trust","10/02/2012","SYS Inventory","Balance Sheet","TPS HEALTHCARE LTD",14408770,31523,"9800147379"
"Department of Health","Portsmouth Hospitals Trust","21/02/2012","SYS Inventory","Balance Sheet","WOCKHARDT UK LTD",14454893,38970.8,"90174409"
"Department of Health","Portsmouth Hospitals Trust","15/02/2012","Services Received - NHSTs","ENT CENTRAL STATEMENT","WESTERN SUSSEX HOSPITALS NHS TRUST",14424926,30825.25,"22267773"
"Department of Health","Portsmouth Hospitals Trust","15/02/2012","Services Received - NHSTs","ENT CENTRAL STATEMENT","WESTERN SUSSEX HOSPITALS NHS TRUST",14424937,30825.25,"22268695"
"Department of Health","Portsmouth Hospitals Trust","15/02/2012","Services Received - NHSTs","Onc/Haem OPD B Level","WESTERN SUSSEX HOSPITALS NHS TRUST",14424926,19797.85,"22267773"
"Department of Health","Portsmouth Hospitals Trust","15/02/2012","Services Received - NHSTs","Onc/Haem OPD B Level","WESTERN SUSSEX HOSPITALS NHS TRUST",14424937,14447.97,"22268695"
"Department of Health","Portsmouth Hospitals Trust","01/02/2012","Services Received - NHSTs","PHCT/PHT RECHARGES","SOUTHERN HEALTH (COMMUNITY) NHSFT",14297028,113588.37,"21624133"
"Department of Health","Portsmouth Hospitals Trust","15/02/2012","Services Received - NHSTs","PLASTIC SURGERY","WESTERN SUSSEX HOSPITALS NHS TRUST",14424926,9158.92,"22267773"
"Department of Health","Portsmouth Hospitals Trust","15/02/2012","Services Received - NHSTs","PLASTIC SURGERY","WESTERN SUSSEX HOSPITALS NHS TRUST",14424937,9158.92,"22268695"
"Department of Health","Portsmouth Hospitals Trust","15/02/2012","Services Received - NHSTs","RENAL NON STOCK/STOCK","WESTERN SUSSEX HOSPITALS NHS TRUST",14424926,728.92,"22267773"
"Department of Health","Portsmouth Hospitals Trust","15/02/2012","Services Received - NHSTs","RENAL NON STOCK/STOCK","WESTERN SUSSEX HOSPITALS NHS TRUST",14424937,728.92,"22268695"
"Department of Health","Portsmouth Hospitals Trust","01/02/2012","Services Received - PCTs","COMMUNITY HOSPITALS - SMH","PORTSMOUTH CITY TEACHING PCT",14306835,109219,"9577989"
