Newcastle City Council Invoices over £500 paid in July 2011,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Expenditure Category,Payment Date,Supplier Name,Internal Ref,Capital/ Revenue,Cost Centre,Cost Centre Description,Grand Total
Adult and Culture,Adult Serv Drug Action Team  ,Third Party Payments,12 July 2011,NORTHUMBRIA POLICE AUTHORITY,5162660,Revenue,1MF29,DIP Drug Intervention ProgramM,"6,400.00"
Adult and Culture,Adult Serv Finance         ,Employees,14 July 2011,UNIVERSITY OF NORTHUMBRIA,5164616,Revenue,1MM01,Ass & Care Man Mh            M,"14,000.00"
Adult and Culture,Adult Serv Finance         ,Premises,06 July 2011,JOHN MONK & CO,5158527,Revenue,1MP12,Mesmac                       M,"3,950.00"
Adult and Culture,Adult Serv Finance         ,Premises,06 July 2011,KAFFEL & NEWTON,5158528,Revenue,1MP12,Mesmac                       M,"4,125.00"
Adult and Culture,Adult Serv Finance         ,Premises,07 July 2011,KAFFEL & NEWTON,5159165,Revenue,1MP12,Mesmac                       M,"3,060.80"
Adult and Culture,Adult Serv Finance         ,Premises,27 July 2011,N POWER NORTHERN LTD,5181669,Revenue,1MG63,Minories Day Centre          M,"1,408.49"
Adult and Culture,Adult Serv Finance         ,Supplies & Services,25 July 2011,KENTON PARK SPORTS CENTRE,5177432,Revenue,1MK61,In-House Day Care Ld         M,"1,000.00"
Adult and Culture,Adult Serv Finance         ,Supplies & Services,25 July 2011,NORTH TYNESIDE PCT,5178021,Revenue,1MH01,ASS & CM PD                  M,47.00
Adult and Culture,Adult Serv Finance         ,Supplies & Services,25 July 2011,NORTH TYNESIDE PCT,5178021,Revenue,1MH70,Sensory Support Pd           M,19.00
Adult and Culture,Adult Serv Finance         ,Supplies & Services,25 July 2011,NORTH TYNESIDE PCT,5178021,Revenue,1MK01,Ass & Care Man Ld            M,199.50
Adult and Culture,Adult Serv Finance         ,Supplies & Services,25 July 2011,NORTH TYNESIDE PCT,5178021,Revenue,1MN30,Asy Seekers Adults           M,70.50
Adult and Culture,Adult Serv Finance         ,Supplies & Services,25 July 2011,NORTH TYNESIDE PCT,5178021,Revenue,1MP01,Ass & Care Man HIV/AIDS      M,70.50
Adult and Culture,Adult Serv Finance         ,Supplies & Services,25 July 2011,NORTH TYNESIDE PCT,5178021,Revenue,1MR48,WELFARE RIGHTS WORKERS       M,927.13
Adult and Culture,Adult Serv Finance         ,Supplies & Services,06 July 2011,SKILLS FOR PEOPLE,5158530,Revenue,1MM94,Mental Capacity Act          M,"3,412.50"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,AGE UK NEWCASTLE,5178044,Revenue,1MG50,IND Home Spot Pur Elderly    M,576.21
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,AGE UK NEWCASTLE,5178233,Revenue,1MG50,IND Home Spot Pur Elderly    M,502.04
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,AGE UK NEWCASTLE,5178430,Revenue,1MG50,IND Home Spot Pur Elderly    M,553.39
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,AGE UK NEWCASTLE,5178431,Revenue,1MG50,IND Home Spot Pur Elderly    M,"1,152.41"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,26 July 2011,AGE UK NEWCASTLE,5180362,Revenue,1MG50,IND Home Spot Pur Elderly    M,718.83
Adult and Culture,Adult Serv Finance         ,Third Party Payments,27 July 2011,AGE UK NEWCASTLE,5180954,Revenue,1MG50,IND Home Spot Pur Elderly    M,696.01
Adult and Culture,Adult Serv Finance         ,Third Party Payments,27 July 2011,AGE UK NEWCASTLE,5181584,Revenue,1MG50,IND Home Spot Pur Elderly    M,"1,083.95"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,27 July 2011,AGE UK NEWCASTLE,5181688,Revenue,1MG50,IND Home Spot Pur Elderly    M,513.45
Adult and Culture,Adult Serv Finance         ,Third Party Payments,11 July 2011,AGE UK NEWCASTLE,5161465,Revenue,1MH50,Ind Home Spot Pur Pd         M,581.91
Adult and Culture,Adult Serv Finance         ,Third Party Payments,11 July 2011,AGE UK NEWCASTLE,5161468,Revenue,1MH50,Ind Home Spot Pur Pd         M,"7,079.91"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,11 July 2011,AGE UK NEWCASTLE,5161794,Revenue,1MH50,Ind Home Spot Pur Pd         M,"1,991.08"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,26 July 2011,AGE UK NEWCASTLE,5180225,Revenue,1MH50,Ind Home Spot Pur Pd         M,"7,667.52"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13 July 2011,AGE UK NEWCASTLE,5163521,Revenue,1MH50,Ind Home Spot Pur Pd         M,"1,255.10"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13 July 2011,AGE UK NEWCASTLE,5163522,Revenue,1MH50,Ind Home Spot Pur Pd         M,"1,620.22"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13 July 2011,AGE UK NEWCASTLE,5163554,Revenue,1MH50,Ind Home Spot Pur Pd         M,"1,899.80"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 July 2011,AGE UK NEWCASTLE,5152787,Revenue,1MH50,Ind Home Spot Pur Pd         M,"7,119.84"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 July 2011,AGE UK NEWCASTLE,5152794,Revenue,1MH50,Ind Home Spot Pur Pd         M,"6,138.59"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 July 2011,AGE UK NEWCASTLE,5152795,Revenue,1MH50,Ind Home Spot Pur Pd         M,"1,163.82"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,ALLIED HEALTHCARE GROUP LTD,5177755,Revenue,1MG50,IND Home Spot Pur Elderly    M,"2,405.68"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,11 July 2011,ALLIED HEALTHCARE GROUP LTD,5161469,Revenue,1MG50,IND Home Spot Pur Elderly    M,"2,589.92"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,ALLIED HEALTHCARE GROUP LTD,5177557,Revenue,1MG53,Supporting People Eld        M,"4,784.56"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,ALLIED HEALTHCARE GROUP LTD,5177558,Revenue,1MG53,Supporting People Eld        M,"5,063.16"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,ALLIED HEALTHCARE GROUP LTD,5177756,Revenue,1MG53,Supporting People Eld        M,"4,181.34"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,06 July 2011,ARK HOUSE TREATMENT CENTRE,5158262,Revenue,1MP27,DAT Residential Rehab        M,"1,439.99"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13 July 2011,AT HOME IN THE COMMUNITY LTD,5164246,Revenue,1MK50,Ind Supported Living - Ld    M,477.60
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,AT HOME IN THE COMMUNITY LTD,5178206,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,620.88
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13 July 2011,AT HOME IN THE COMMUNITY LTD,5164246,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,477.60
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,AT HOME IN THE COMMUNITY LTD,5164661,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,"4,218.20"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,AT HOME IN THE COMMUNITY LTD,5178442,Revenue,1MK55,Dom Care Family/Carer - Ld   M,"7,307.28"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,AT HOME IN THE COMMUNITY LTD,5164604,Revenue,1MK55,Dom Care Family/Carer - Ld   M,"3,955.52"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,AT HOME IN THE COMMUNITY LTD,5164640,Revenue,1MK55,Dom Care Family/Carer - Ld   M,788.04
Adult and Culture,Adult Serv Finance         ,Third Party Payments,21 July 2011,AT HOME IN THE COMMUNITY LTD,5174061,Revenue,1MM50,Ind Home - Spot Pur Mh       M,"6,056.96"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13 July 2011,AZURE,5163535,Revenue,1MK50,Ind Supported Living - Ld    M,625.56
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12 July 2011,AZURE,5163137,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,818.04
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12 July 2011,AZURE,5163140,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,986.40
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,AZURE,5177550,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,818.04
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,AZURE,5178017,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,769.92
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,AZURE,5178207,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,"1,539.84"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13 July 2011,AZURE,5163612,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,577.44
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,AZURE,5164726,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,517.29
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,AZURE,5164727,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,529.32
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,AZURE,5165221,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,793.98
Adult and Culture,Adult Serv Finance         ,Third Party Payments,27 July 2011,AZURE,5177760,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,541.35
Adult and Culture,Adult Serv Finance         ,Third Party Payments,27 July 2011,AZURE,5178402,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,529.32
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12 July 2011,AZURE,5163139,Revenue,1MK55,Dom Care Family/Carer - Ld   M,"1,130.80"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13 July 2011,AZURE,5163535,Revenue,1MK55,Dom Care Family/Carer - Ld   M,625.56
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13 July 2011,AZURE,5164071,Revenue,1MK55,Dom Care Family/Carer - Ld   M,625.56
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,AZURE,5164606,Revenue,1MK55,Dom Care Family/Carer - Ld   M,769.92
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,AZURE,5164613,Revenue,1MK55,Dom Care Family/Carer - Ld   M,"1,391.58"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,AZURE,5164614,Revenue,1MK55,Dom Care Family/Carer - Ld   M,"1,347.36"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,AZURE,5164737,Revenue,1MK55,Dom Care Family/Carer - Ld   M,601.50
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,AZURE,5165222,Revenue,1MK55,Dom Care Family/Carer - Ld   M,"1,227.04"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,AZURE,5177567,Revenue,1MM50,Ind Home - Spot Pur Mh       M,866.16
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,CARE UK HOMECARE,5178046,Revenue,1MG53,Supporting People Eld        M,"3,328.52"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,CARELINE HOMECARE LTD,5177408,Revenue,1MG53,Supporting People Eld        M,867.28
Adult and Culture,Adult Serv Finance         ,Third Party Payments,11 July 2011,CARELINE HOMECARE LTD,5161463,Revenue,1MH50,Ind Home Spot Pur Pd         M,"1,866.88"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,11 July 2011,CARELINE HOMECARE LTD,5161793,Revenue,1MH50,Ind Home Spot Pur Pd         M,"1,940.20"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13 July 2011,CARELINE HOMECARE LTD,5163520,Revenue,1MH50,Ind Home Spot Pur Pd         M,"1,497.60"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,CARELINE HOMECARE LTD,5177102,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,772.94
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12 July 2011,CARELINE HOMECARE LTD,5162787,Revenue,1MK55,Dom Care Family/Carer - Ld   M,674.48
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,CARELINE HOMECARE LTD,5165657,Revenue,1MK55,Dom Care Family/Carer - Ld   M,518.96
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,CAREWATCH (NEWCASTLE UPON TYNE),5178052,Revenue,1MG50,IND Home Spot Pur Elderly    M,973.52
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,CAREWATCH (NEWCASTLE UPON TYNE),5164669,Revenue,1MG50,IND Home Spot Pur Elderly    M,775.42
Adult and Culture,Adult Serv Finance         ,Third Party Payments,15 July 2011,CAREWATCH (NEWCASTLE UPON TYNE),5166718,Revenue,1MG50,IND Home Spot Pur Elderly    M,882.96
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,CAREWATCH (NEWCASTLE UPON TYNE),5178050,Revenue,1MG53,Supporting People Eld        M,"2,107.58"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,CAREWATCH (NEWCASTLE UPON TYNE),5178230,Revenue,1MG53,Supporting People Eld        M,"2,039.75"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,CAREWATCH (NEWCASTLE UPON TYNE),5178052,Revenue,1MH50,Ind Home Spot Pur Pd         M,520.72
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,CAREWATCH (NEWCASTLE UPON TYNE),5164669,Revenue,1MH50,Ind Home Spot Pur Pd         M,486.76
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,CAREWATCH (NEWCASTLE UPON TYNE),5161461,Revenue,1MH50,Ind Home Spot Pur Pd         M,"1,786.89"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,CAREWATCH (NEWCASTLE UPON TYNE),5164630,Revenue,1MH50,Ind Home Spot Pur Pd         M,"2,546.88"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,15 July 2011,CAREWATCH (NEWCASTLE UPON TYNE),5166718,Revenue,1MH50,Ind Home Spot Pur Pd         M,543.36
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,CAREWATCH (NEWCASTLE UPON TYNE),5178052,Revenue,1MK50,Ind Supported Living - Ld    M,679.20
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,CAREWATCH (NEWCASTLE UPON TYNE),5164669,Revenue,1MK50,Ind Supported Living - Ld    M,679.20
Adult and Culture,Adult Serv Finance         ,Third Party Payments,15 July 2011,CAREWATCH (NEWCASTLE UPON TYNE),5166718,Revenue,1MK50,Ind Supported Living - Ld    M,582.98
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13 July 2011,CAREWATCH (NEWCASTLE UPON TYNE),5164236,Revenue,1MK55,Dom Care Family/Carer - Ld   M,"1,786.89"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,05 July 2011,CAREWATCH (NEWCASTLE UPON TYNE),5157170,Revenue,1MK55,Dom Care Family/Carer - Ld   M,"1,727.87"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,COQUET TRUST,5176704,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,547.37
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,COQUET TRUST,5176785,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,"2,406.00"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,COQUET TRUST,5178241,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,"4,964.78"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,06 July 2011,COQUET TRUST,5158169,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,938.34
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13 July 2011,COQUET TRUST,5164242,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,"2,694.72"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,COQUET TRUST,5164610,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,700.75
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,COQUET TRUST,5164635,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,"1,407.51"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,COQUET TRUST,5164739,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,709.77
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,COQUET TRUST,5164740,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,"5,216.72"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,COQUET TRUST,5177176,Revenue,1MK55,Dom Care Family/Carer - Ld   M,739.84
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,COQUET TRUST,5164664,Revenue,1MK55,Dom Care Family/Carer - Ld   M,"1,834.58"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,11 July 2011,DEMENTIA CARE PARTNERSHIP,5161470,Revenue,1MH50,Ind Home Spot Pur Pd         M,"2,612.16"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,DIMENSIONS (UK) LTD,5178023,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,"2,798.96"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,DIMENSIONS (UK) LTD,5178023,Revenue,1MK55,Dom Care Family/Carer - Ld   M,996.24
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,ESPA LTD - EUROPEAN SERVICES FOR,5177355,Revenue,1MK60,Ind Day Care Ld              M,"14,583.33"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,GUARDIAN HOMECARE & NURSING (NCLE) LTD,5178041,Revenue,1MG50,IND Home Spot Pur Elderly    M,724.68
Adult and Culture,Adult Serv Finance         ,Third Party Payments,27 July 2011,GUARDIAN HOMECARE & NURSING (NCLE) LTD,5181596,Revenue,1MG50,IND Home Spot Pur Elderly    M,"1,735.02"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,GUARDIAN HOMECARE & NURSING (NCLE) LTD,5177018,Revenue,1MH50,Ind Home Spot Pur Pd         M,557.00
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,GUARDIAN HOMECARE & NURSING (NCLE) LTD,5178012,Revenue,1MH50,Ind Home Spot Pur Pd         M,"4,115.24"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,GUARDIAN HOMECARE & NURSING (NCLE) LTD,5176698,Revenue,1MK55,Dom Care Family/Carer - Ld   M,524.68
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,ID SUPPORT LTD,5178025,Revenue,1MK50,Ind Supported Living - Ld    M,"8,440.37"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,ID SUPPORT LTD,5178053,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,"2,806.27"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,ID SUPPORT LTD,5164645,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,599.94
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,ID SUPPORT LTD,5164747,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,"3,082.07"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,JB SKILLCARE LTD,5178018,Revenue,1MH50,Ind Home Spot Pur Pd         M,"6,897.20"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,JB SKILLCARE LTD,5164601,Revenue,1MH50,Ind Home Spot Pur Pd         M,"6,897.20"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,06 July 2011,KEY ENTERPRISES (1983) LTD,5158116,Revenue,1MK60,Ind Day Care Ld              M,"2,014.08"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,KEY ENTERPRISES (1983) LTD,5164599,Revenue,1MK60,Ind Day Care Ld              M,"2,014.08"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,11 July 2011,LIFEWAYS COMMUNITY CARE,5161438,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,"2,976.96"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,11 July 2011,LIFEWAYS COMMUNITY CARE,5161462,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,938.12
Adult and Culture,Adult Serv Finance         ,Third Party Payments,11 July 2011,LIFEWAYS COMMUNITY CARE,5161791,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,994.41
Adult and Culture,Adult Serv Finance         ,Third Party Payments,11 July 2011,LIFEWAYS COMMUNITY CARE,5161792,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,854.42
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13 July 2011,LIFEWAYS COMMUNITY CARE,5164243,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,"1,020.00"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13 July 2011,LIFEWAYS COMMUNITY CARE,5164244,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,"2,856.00"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,LIFEWAYS COMMUNITY CARE,5164643,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,"1,122.00"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,LIFEWAYS COMMUNITY CARE,5164658,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,"11,543.00"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,LIFEWAYS COMMUNITY CARE,5164663,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,"1,020.00"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,08 July 2011,LIFEWAYS COMMUNITY CARE,5160985,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,"11,989.88"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,08 July 2011,LIFEWAYS COMMUNITY CARE,5160986,Revenue,1MK54,Dom Care Own Tenancy - Ld    M,"1,089.43"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,LIFEWAYS COMMUNITY CARE,5164637,Revenue,1MK55,Dom Care Family/Carer - Ld   M,"6,545.00"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,LIFEWAYS COMMUNITY CARE,5164638,Revenue,1MK55,Dom Care Family/Carer - Ld   M,"6,874.49"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,LS CARE LTD,5178016,Revenue,1MH50,Ind Home Spot Pur Pd         M,654.00
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25 July 2011,LS CARE LTD,5178208,Revenue,1MH50,Ind Home Spot Pur Pd         M,"2,534.23"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,LS CARE LTD,5164612,Revenue,1MH50,Ind Home Spot Pur Pd         M,"2,534.23"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,LS CARE LTD,5164677,Revenue,1MH50,Ind Home Spot Pur Pd         M,"2,534.23"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 July 2011,LS CARE LTD,5164730,Revenue,1MH50,Ind Home Spot Pur Pd         M,742.49
