A3131,,,,,,,,,,Expenditure Over Threshold
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RUN AT 02/08/2013 11:20:58,,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,630385,"46,999.74",,BB003793,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,630805,"(26,892.68)",,BZ013308,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,589752,"895,928.29",,70010143,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CLINICENTA (HERTFORDSHIRE) LTD,657000,"1,375,672.06",,OP36,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CLINICENTA (HERTFORDSHIRE) LTD,657006,"51,734.04",,200536,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Clinical&Medical-Independent Sector,COUNSELLING SERVICES,COUNSELLING FOUNDATION (THE),668623,"25,120.00",,EN1130041301,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Clinical&Medical-Independent Sector,COUNSELLING SERVICES,COUNSELLING FOUNDATION (THE),668631,"28,200.00",,EN1131051347,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Clinical&Medical-Independent Sector,COUNSELLING SERVICES,COUNSELLING FOUNDATION (THE),738279,"30,480.00",,ENH30061306,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,589764,"13,390,068.00",,4094674,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,589769,"79,797.00",,4094685,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,EAST AND NORTH HERTFORDSHIRE NHS TRUST,630609,"72,010.00",,4094703,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust-Non Contract,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,657019,"26,700.00",,4094946,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,608916,"1,298,125.00",,818931,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust-Non Contract,ACUTE COMMISSIONING,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,630648,"34,650.00",,819054,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust,PROGRAMME PROJECTS,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,641350,"33,917.00",,819147,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS TRUST,589795,"69,751.35",,X0102947,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,560942,"127,208.00",,3114635,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,641324,"2,423,201.00",,28006221,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,738124,"85,112.00",,28006074,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Clinical&Medical-Othe Public Sector,CARERS,HERTFORDSHIRE COUNTY COUNCIL,543690,"68,664.00",,1801396232,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Clinical&Medical-Othe Public Sector,MENTAL HEALTH CONTRACTS,HERTFORDSHIRE COUNTY COUNCIL,543697,"555,767.00",,1801397014,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,HERTFORDSHIRE COUNTY COUNCIL,641360,"1,189,000.00",,1801408280,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - ADULTS,HERTFORDSHIRE COUNTY COUNCIL,641360,"4,272,000.00",,1801408280,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Social Care-ICES,COMMUNITY SERVICES,HERTFORDSHIRE COUNTY COUNCIL,680408,"408,731.00",,1801384632,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Clinical&Medical-Othe Public Sector,MENTAL HEALTH CONTRACTS,HERTFORDSHIRE COUNTY COUNCIL,792668,"185,256.00",,1801409687,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec Oth-NHS,NON RECURRENT PROGRAMMES,HERTS URGENT CARE,618530,"127,337.00",,2123,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec Oth-NHS,OUT OF HOURS,HERTS URGENT CARE,618536,"320,330.35",,2121,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec Oth-NHS,PROGRAMME PROJECTS,HERTS URGENT CARE,618540,"95,527.80",,2117,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,589828,"72,761.00",,H0088035,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,COLLABORATIVE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,630696,"86,875.00",,H0088036,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,KING GEORGE SURGERY,766882,"35,430.56",,HT000002327,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,KING GEORGE SURGERY,766882,439.60,,HT000002327,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,External Consultancy Fees,CEO/ BOARD OFFICE,LEAP ORGANISATION LTD,468218,"49,417.43",,117,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,External Consultancy Fees,CEO/ BOARD OFFICE,LEAP ORGANISATION LTD,717077,"44,147.71",,121,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,LUTON & DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,630786,"92,875.50",,52946222,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,MID ESSEX HOSPITALS SERVICES NHS TRUST,608936,"84,214.00",,ME2000078228,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,630847,"203,893.00",,IC0016967,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,738162,"65,962.00",,IC0016904,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,766890,"(85,417.85)",,HT000002335,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,766891,"178,427.87",,HT000002336,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Charges from CSU,CORPORATE COSTS & SERVICES,NHS HERTFORDSHIRE INTEGRATED CSU,589758,"525,579.71",,7311100023,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Rent,COMMUNITY SERVICES,NHS PROPERTY SERVICES LTD,553049,"449,236.62",,48290165,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Rent,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,553049,"114,750.00",,48290165,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Rent,COMMUNITY SERVICES,NHS PROPERTY SERVICES LTD,770525,"449,296.35",,48290352,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Rent,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,770525,"114,690.27",,48290352,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,608923,"78,533.00",,18622,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,NORTH WEST LONDON HOSPITALS NHS TRUST,618459,"54,916.66",,I0148773,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,OXFORD FERTILITY UNIT,514319,"175,655.00",,OFUEOE9059,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,OXFORD FERTILITY UNIT,514323,"241,190.00",,OFUEOE9060,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,OXFORD FERTILITY UNIT,618598,"148,610.00",,OFUEOE9061,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,589744,"104,706.00",,I0079272,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PINEHILL HOSPITAL,589840,"813,210.00",,ENHCCGPINJULY13,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,608899,"3,596,250.01",,BL130401,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,630533,"176,967.73",,I0160294,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,589833,"434,755.00",,1324257,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,589852,"262,386.00",,B0022294,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,SOUTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST,738067,"39,308.00",,I0035348,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,589777,"82,589.00",,06K010713PFBSH,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,589823,"541,555.41",,200755,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WATTON PLACE CLINIC,766914,"(47,563.90)",,HT000002361,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WATTON PLACE CLINIC,766915,"97,270.50",,HT000002362,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,630575,"189,072.00",,212421,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WHITWELL SURGERY,766910,"38,257.38",,HT000002357,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,WHITWELL SURGERY,766910,"1,970.35",,HT000002357,
,,,,,,,,,,
,,,,,,,"39,574,488.12",,,
